userName,content,appVersion,content_clean,tokenized,filtered_tokens,stopwords_removed,stemmed_tokens,slang_replaced
Muhammad Rizwan,keren banget game,11.1.1.4,keren banget game,"[('keren', 'banget'), ('banget', 'game')]","[('keren', 'banget'), ('banget', 'game')]","[('keren', 'banget'), ('banget', 'game')]","[('keren', 'banget'), ('banget', 'game')]","[('keren', 'banget'), ('banget', 'game')]"
Zahrong rong,buruk...padahal pas mau main rank udah baik jaringan nya eh malah menghubungkan ulang nyeselin harus tunggu beberapa jam untuk main🙃💔,,buruk...padahal pas mau main rank udah baik jaringan nya eh malah menghubungkan ulang nyeselin harus tunggu beberapa jam untuk main🙃💔,"[('buruk', '...'), ('...', 'padahal'), ('padahal', 'pas'), ('pas', 'mau'), ('mau', 'main'), ('main', 'rank'), ('rank', 'udah'), ('udah', 'baik'), ('baik', 'jaringan'), ('jaringan', 'nya'), ('nya', 'eh'), ('eh', 'malah'), ('malah', 'menghubungkan'), ('menghubungkan', 'ulang'), ('ulang', 'nyeselin'), ('nyeselin', 'harus'), ('harus', 'tunggu'), ('tunggu', 'beberapa'), ('beberapa', 'jam'), ('jam', 'untuk'), ('untuk', 'main🙃💔')]","[('buruk',), ('padahal',), ('padahal', 'pas'), ('pas', 'mau'), ('mau', 'main'), ('main', 'rank'), ('rank', 'udah'), ('udah', 'baik'), ('baik', 'jaringan'), ('jaringan', 'nya'), ('nya', 'eh'), ('eh', 'malah'), ('malah', 'menghubungkan'), ('menghubungkan', 'ulang'), ('ulang', 'nyeselin'), ('nyeselin', 'harus'), ('harus', 'tunggu'), ('tunggu', 'beberapa'), ('beberapa', 'jam'), ('jam', 'untuk'), ('untuk', 'main')]","[('buruk',), ('padahal',), ('padahal', 'pas'), ('pas', 'mau'), ('mau', 'main'), ('main', 'rank'), ('rank', 'udah'), ('udah', 'baik'), ('baik', 'jaring'), ('jaring', 'nya'), ('nya', 'eh'), ('eh', 'malah'), ('malah', 'hubung'), ('hubung', 'ulang'), ('ulang', 'nyeselin'), ('nyeselin', 'harus'), ('harus', 'tunggu'), ('tunggu', 'beberapa'), ('beberapa', 'jam'), ('jam', 'untuk'), ('untuk', 'main')]","[('buruk',), ('padahal',), ('padahal', 'pas'), ('pas', 'mau'), ('mau', 'main'), ('main', 'rank'), ('rank', 'udah'), ('udah', 'baik'), ('baik', 'jaring'), ('jaring', 'nya'), ('nya', 'eh'), ('eh', 'malah'), ('malah', 'hubung'), ('hubung', 'ulang'), ('ulang', 'nyeselin'), ('nyeselin', 'harus'), ('harus', 'tunggu'), ('tunggu', 'beberapa'), ('beberapa', 'jam'), ('jam', 'untuk'), ('untuk', 'main')]","[('buruk',), ('padahal',), ('padahal', 'pas'), ('pas', 'mau'), ('mau', 'main'), ('main', 'rank'), ('rank', 'udah'), ('udah', 'baik'), ('baik', 'jaring'), ('jaring', 'nya'), ('nya', 'eh'), ('eh', 'malah'), ('malah', 'hubung'), ('hubung', 'ulang'), ('ulang', 'nyeselin'), ('nyeselin', 'harus'), ('harus', 'tunggu'), ('tunggu', 'beberapa'), ('beberapa', 'jam'), ('jam', 'untuk'), ('untuk', 'main')]"
Dewe Made krisna,GAK LAYAK MAIN,,gak layak main,"[('gak', 'layak'), ('layak', 'main')]","[('gak', 'layak'), ('layak', 'main')]","[('gak', 'layak'), ('layak', 'main')]","[('gak', 'layak'), ('layak', 'main')]","[('gak', 'layak'), ('layak', 'main')]"
Muhammad Panca mustakim,"game nya seru yah banyak player jagonya tapi biasanya tim buruk musuh hebat ,tapi itu membuat menantang",11.1.1.4,"game nya seru yah banyak player jagonya tapi biasanya tim buruk musuh hebat ,tapi itu membuat menantang","[('game', 'nya'), ('nya', 'seru'), ('seru', 'yah'), ('yah', 'banyak'), ('banyak', 'player'), ('player', 'jagonya'), ('jagonya', 'tapi'), ('tapi', 'biasanya'), ('biasanya', 'tim'), ('tim', 'buruk'), ('buruk', 'musuh'), ('musuh', 'hebat'), ('hebat', ','), (',', 'tapi'), ('tapi', 'itu'), ('itu', 'membuat'), ('membuat', 'menantang')]","[('game', 'nya'), ('nya', 'seru'), ('seru', 'yah'), ('yah', 'banyak'), ('banyak', 'player'), ('player', 'jagonya'), ('jagonya', 'tapi'), ('tapi', 'biasanya'), ('biasanya', 'tim'), ('tim', 'buruk'), ('buruk', 'musuh'), ('musuh', 'hebat'), ('hebat',), ('tapi',), ('tapi', 'itu'), ('itu', 'membuat'), ('membuat', 'menantang')]","[('game', 'nya'), ('nya', 'seru'), ('seru', 'yah'), ('yah', 'banyak'), ('banyak', 'player'), ('player', 'jago'), ('jago', 'tapi'), ('tapi', 'biasa'), ('biasa', 'tim'), ('tim', 'buruk'), ('buruk', 'musuh'), ('musuh', 'hebat'), ('hebat',), ('tapi',), ('tapi', 'itu'), ('itu', 'buat'), ('buat', 'tantang')]","[('game', 'nya'), ('nya', 'seru'), ('seru', 'yah'), ('yah', 'banyak'), ('banyak', 'player'), ('player', 'jago'), ('jago', 'tapi'), ('tapi', 'biasa'), ('biasa', 'tim'), ('tim', 'buruk'), ('buruk', 'musuh'), ('musuh', 'hebat'), ('hebat',), ('tapi',), ('tapi', 'itu'), ('itu', 'buat'), ('buat', 'tantang')]","[('game', 'nya'), ('nya', 'seru'), ('seru', 'yah'), ('yah', 'banyak'), ('banyak', 'player'), ('player', 'jago'), ('jago', 'tapi'), ('tapi', 'biasa'), ('biasa', 'tim'), ('tim', 'buruk'), ('buruk', 'musuh'), ('musuh', 'hebat'), ('hebat',), ('tapi',), ('tapi', 'itu'), ('itu', 'buat'), ('buat', 'tantang')]"
Toko Barokah,terima kasih tencent telah membuat game sebagus ini jujur apa yang anda berikan kepada pemain sangat² bagus,11.1.1.4,terima kasih tencent telah membuat game sebagus ini jujur apa yang anda berikan kepada pemain sangat² bagus,"[('terima', 'kasih'), ('kasih', 'tencent'), ('tencent', 'telah'), ('telah', 'membuat'), ('membuat', 'game'), ('game', 'sebagus'), ('sebagus', 'ini'), ('ini', 'jujur'), ('jujur', 'apa'), ('apa', 'yang'), ('yang', 'anda'), ('anda', 'berikan'), ('berikan', 'kepada'), ('kepada', 'pemain'), ('pemain', 'sangat²'), ('sangat²', 'bagus')]","[('terima', 'kasih'), ('kasih', 'tencent'), ('tencent', 'telah'), ('telah', 'membuat'), ('membuat', 'game'), ('game', 'sebagus'), ('sebagus', 'ini'), ('ini', 'jujur'), ('jujur', 'apa'), ('apa', 'yang'), ('yang', 'anda'), ('anda', 'berikan'), ('berikan', 'kepada'), ('kepada', 'pemain'), ('pemain', 'sangat'), ('sangat', 'bagus')]","[('terima', 'kasih'), ('kasih', 'tencent'), ('tencent', 'telah'), ('telah', 'buat'), ('buat', 'game'), ('game', 'bagus'), ('bagus', 'ini'), ('ini', 'jujur'), ('jujur', 'apa'), ('apa', 'yang'), ('yang', 'anda'), ('anda', 'ikan'), ('ikan', 'kepada'), ('kepada', 'main'), ('main', 'sangat'), ('sangat', 'bagus')]","[('terima', 'kasih'), ('kasih', 'tencent'), ('tencent', 'telah'), ('telah', 'buat'), ('buat', 'game'), ('game', 'bagus'), ('bagus', 'ini'), ('ini', 'jujur'), ('jujur', 'apa'), ('apa', 'yang'), ('yang', 'anda'), ('anda', 'ikan'), ('ikan', 'kepada'), ('kepada', 'main'), ('main', 'sangat'), ('sangat', 'bagus')]","[('terima', 'kasih'), ('kasih', 'tencent'), ('tencent', 'telah'), ('telah', 'buat'), ('buat', 'game'), ('game', 'bagus'), ('bagus', 'ini'), ('ini', 'jujur'), ('jujur', 'apa'), ('apa', 'yang'), ('yang', 'anda'), ('anda', 'ikan'), ('ikan', 'kepada'), ('kepada', 'main'), ('main', 'sangat'), ('sangat', 'bagus')]"
Stevelie Walukow,mending ini daripada moba legeng,11.1.1.4,mending ini daripada moba legeng,"[('mending', 'ini'), ('ini', 'daripada'), ('daripada', 'moba'), ('moba', 'legeng')]","[('mending', 'ini'), ('ini', 'daripada'), ('daripada', 'moba'), ('moba', 'legeng')]","[('mending', 'ini'), ('ini', 'daripada'), ('daripada', 'moba'), ('moba', 'legeng')]","[('mending', 'ini'), ('ini', 'daripada'), ('daripada', 'moba'), ('moba', 'legeng')]","[('mending', 'ini'), ('ini', 'daripada'), ('daripada', 'moba'), ('moba', 'legeng')]"
arsito adi,seruuu asik kalo gabut aku bisa main ini yang bikin game ini aku laik,,seruuu asik kalo gabut aku bisa main ini yang bikin game ini aku laik,"[('seruuu', 'asik'), ('asik', 'kalo'), ('kalo', 'gabut'), ('gabut', 'aku'), ('aku', 'bisa'), ('bisa', 'main'), ('main', 'ini'), ('ini', 'yang'), ('yang', 'bikin'), ('bikin', 'game'), ('game', 'ini'), ('ini', 'aku'), ('aku', 'laik')]","[('seru', 'asik'), ('asik', 'kalo'), ('kalo', 'gabut'), ('gabut', 'aku'), ('aku', 'bisa'), ('bisa', 'main'), ('main', 'ini'), ('ini', 'yang'), ('yang', 'bikin'), ('bikin', 'game'), ('game', 'ini'), ('ini', 'aku'), ('aku', 'laik')]","[('seru', 'asik'), ('asik', 'kalo'), ('kalo', 'gabut'), ('gabut', 'aku'), ('aku', 'bisa'), ('bisa', 'main'), ('main', 'ini'), ('ini', 'yang'), ('yang', 'bikin'), ('bikin', 'game'), ('game', 'ini'), ('ini', 'aku'), ('aku', 'laik')]","[('seru', 'asik'), ('asik', 'kalo'), ('kalo', 'gabut'), ('gabut', 'aku'), ('aku', 'bisa'), ('bisa', 'main'), ('main', 'ini'), ('ini', 'yang'), ('yang', 'bikin'), ('bikin', 'game'), ('game', 'ini'), ('ini', 'aku'), ('aku', 'laik')]","[('seru', 'asik'), ('asik', 'kalo'), ('kalo', 'gabut'), ('gabut', 'aku'), ('aku', 'bisa'), ('bisa', 'main'), ('main', 'ini'), ('ini', 'yang'), ('yang', 'bikin'), ('bikin', 'game'), ('game', 'ini'), ('ini', 'aku'), ('aku', 'laik')]"
zahra zahra,dark sistem team very crazy ku rasa jika kalah lebih banyak lebih baik dpt bonus bintang kalo menang,11.1.1.4,dark sistem team very crazy ku rasa jika kalah lebih banyak lebih baik dpt bonus bintang kalo menang,"[('dark', 'sistem'), ('sistem', 'team'), ('team', 'very'), ('very', 'crazy'), ('crazy', 'ku'), ('ku', 'rasa'), ('rasa', 'jika'), ('jika', 'kalah'), ('kalah', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lebih'), ('lebih', 'baik'), ('baik', 'dpt'), ('dpt', 'bonus'), ('bonus', 'bintang'), ('bintang', 'kalo'), ('kalo', 'menang')]","[('dark', 'sistem'), ('sistem', 'team'), ('team', 'very'), ('very', 'crazy'), ('crazy', 'ku'), ('ku', 'rasa'), ('rasa', 'jika'), ('jika', 'kalah'), ('kalah', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lebih'), ('lebih', 'baik'), ('baik', 'dpt'), ('dpt', 'bonus'), ('bonus', 'bintang'), ('bintang', 'kalo'), ('kalo', 'menang')]","[('dark', 'sistem'), ('sistem', 'team'), ('team', 'very'), ('very', 'crazy'), ('crazy', 'ku'), ('ku', 'rasa'), ('rasa', 'jika'), ('jika', 'kalah'), ('kalah', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lebih'), ('lebih', 'baik'), ('baik', 'dpt'), ('dpt', 'bonus'), ('bonus', 'bintang'), ('bintang', 'kalo'), ('kalo', 'menang')]","[('dark', 'sistem'), ('sistem', 'team'), ('team', 'very'), ('very', 'crazy'), ('crazy', 'ku'), ('ku', 'rasa'), ('rasa', 'jika'), ('jika', 'kalah'), ('kalah', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lebih'), ('lebih', 'baik'), ('baik', 'dpt'), ('dpt', 'bonus'), ('bonus', 'bintang'), ('bintang', 'kalo'), ('kalo', 'menang')]","[('dark', 'sistem'), ('sistem', 'team'), ('team', 'very'), ('very', 'crazy'), ('crazy', 'ku'), ('ku', 'rasa'), ('rasa', 'jika'), ('jika', 'kalah'), ('kalah', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lebih'), ('lebih', 'baik'), ('baik', 'dpt'), ('dpt', 'bonus'), ('bonus', 'bintang'), ('bintang', 'kalo'), ('kalo', 'menang')]"
Muchlis Abdul Chohar,lelett,11.1.1.4,lelett,[],[],[],[],[]
Siti halimah,aku ingin 100000 diamond plissss,10.5.1.9,aku ingin 100000 diamond plissss,"[('aku', 'ingin'), ('ingin', '100000'), ('100000', 'diamond'), ('diamond', 'plissss')]","[('aku', 'ingin'), ('ingin',), ('diamond',), ('diamond', 'plis')]","[('aku', 'ingin'), ('ingin',), ('diamond',), ('diamond', 'plis')]","[('aku', 'ingin'), ('ingin',), ('diamond',), ('diamond', 'plis')]","[('aku', 'ingin'), ('ingin',), ('diamond',), ('diamond', 'plis')]"
