stopwords_removed,bigrams_hok
"['keren', 'banget']","[('keren', 'banget')]"
"['buruk', 'baik', 'hubung', 'ulang', 'tunggu', 'beberapa']","[('buruk', 'baik'), ('baik', 'hubung'), ('hubung', 'ulang'), ('ulang', 'tunggu'), ('tunggu', 'beberapa')]"
['layak'],[]
"['seru', 'banyak', 'jago', 'biasa', 'buruk', 'musuh', 'hebat', 'tantang']","[('seru', 'banyak'), ('banyak', 'jago'), ('jago', 'biasa'), ('biasa', 'buruk'), ('buruk', 'musuh'), ('musuh', 'hebat'), ('hebat', 'tantang')]"
"['terimakasih', 'bagus', 'jujur', 'ikan', 'kepada', 'bagus']","[('terimakasih', 'bagus'), ('bagus', 'jujur'), ('jujur', 'ikan'), ('ikan', 'kepada'), ('kepada', 'bagus')]"
"['mending', 'legeng']","[('mending', 'legeng')]"
"['seru', 'asik', 'gabut', 'laik']","[('seru', 'asik'), ('asik', 'gabut'), ('gabut', 'laik')]"
"['gelap', 'very', 'crazy', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'bonus', 'bintang', 'menang']","[('gelap', 'very'), ('very', 'crazy'), ('crazy', 'jika'), ('jika', 'kalah'), ('kalah', 'lebih'), ('lebih', 'banyak'), ('banyak', 'lebih'), ('lebih', 'baik'), ('baik', 'bonus'), ('bonus', 'bintang'), ('bintang', 'menang')]"
['lelett'],[]
['diamond'],[]
"['animasi', 'delay', 'skill', 'gera', 'cepat', 'beberapa', 'licin', 'talu', 'banyak', 'stun', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'kelas', 'sangguan', 'ulti', 'reset', 'bila', 'kill', 'musuh', 'gantung', 'ulti', 'beberapa', 'terlalu', 'butuh', 'ulti', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'fight', 'arcana', 'tambahin', 'spellvamp', 'physical', 'masuk', 'terimakasih']","[('animasi', 'delay'), ('delay', 'skill'), ('skill', 'gera'), ('gera', 'cepat'), ('cepat', 'beberapa'), ('beberapa', 'licin'), ('licin', 'talu'), ('talu', 'banyak'), ('banyak', 'stun'), ('stun', 'item'), ('item', 'kurang'), ('kurang', 'cc'), ('cc', 'selain'), ('selain', 'sepatu'), ('sepatu', 'kelas'), ('kelas', 'sangguan'), ('sangguan', 'ulti'), ('ulti', 'reset'), ('reset', 'bila'), ('bila', 'kill'), ('kill', 'musuh'), ('musuh', 'gantung'), ('gantung', 'ulti'), ('ulti', 'beberapa'), ('beberapa', 'terlalu'), ('terlalu', 'butuh'), ('butuh', 'ulti'), ('ulti', 'balance'), ('balance', 'biar'), ('biar', 'agak'), ('agak', 'sedikit'), ('sedikit', 'sustand'), ('sustand', 'fight'), ('fight', 'arcana'), ('arcana', 'tambahin'), ('tambahin', 'spellvamp'), ('spellvamp', 'physical'), ('physical', 'masuk'), ('masuk', 'terimakasih')]"
"['tolong', 'baik', 'masalh', 'menggangu']","[('tolong', 'baik'), ('baik', 'masalh'), ('masalh', 'menggangu')]"
"['bagus', 'samsung', 'samsung', 'apakah', 'kuat']","[('bagus', 'samsung'), ('samsung', 'samsung'), ('samsung', 'apakah'), ('apakah', 'kuat')]"
"['banyak', 'bug', 'rusak']","[('banyak', 'bug'), ('bug', 'rusak')]"
"['bagus', 'banget', 'hewan', 'lucu', 'pula']","[('bagus', 'banget'), ('banget', 'hewan'), ('hewan', 'lucu'), ('lucu', 'pula')]"
['seru'],[]
"['cocok', 'bagi', 'ls']","[('cocok', 'bagi'), ('bagi', 'ls')]"
['suka'],[]
"['cheater', 'kena', 'report', 'payah']","[('cheater', 'kena'), ('kena', 'report'), ('report', 'payah')]"
"['bagus', 'tarik', 'banget']","[('bagus', 'tarik'), ('tarik', 'banget')]"
"['buruk', 'bintangc']","[('buruk', 'bintangc')]"
"['sekarang', 'wifi', 'lancar']","[('sekarang', 'wifi'), ('wifi', 'lancar')]"
"['bug', 'masalah', 'hukum', 'malam', 'adil', 'auh', 'gelap']","[('bug', 'masalah'), ('masalah', 'hukum'), ('hukum', 'malam'), ('malam', 'adil'), ('adil', 'auh'), ('auh', 'gelap')]"
['next'],[]
"['nanti', 'comeback', 'lgi']","[('nanti', 'comeback'), ('comeback', 'lgi')]"
['bagus'],[]
"['uninstall', 'lag', 'v']","[('uninstall', 'lag'), ('lag', 'v')]"
['tolol'],[]
"['bagus', 'grafik', 'bagus', 'tolong', 'boros', 'mana', 'mana', 'tolong', 'lam', 'tolong']","[('bagus', 'grafik'), ('grafik', 'bagus'), ('bagus', 'tolong'), ('tolong', 'boros'), ('boros', 'mana'), ('mana', 'mana'), ('mana', 'tolong'), ('tolong', 'lam'), ('lam', 'tolong')]"
"['tolong', 'ringan', 'dihp', 'kentang']","[('tolong', 'ringan'), ('ringan', 'dihp'), ('dihp', 'kentang')]"
"['wah', 'gratis', 'sedikit', 'banget', 'untung', 'rotasi', 'minggu', 'sempat', 'minggu']","[('wah', 'gratis'), ('gratis', 'sedikit'), ('sedikit', 'banget'), ('banget', 'untung'), ('untung', 'rotasi'), ('rotasi', 'minggu'), ('minggu', 'sempat'), ('sempat', 'minggu')]"
"['lawan', 'bot', 'bosen', 'musuh', 'kabur', 'darah', 'sekarat', 'tengah', 'teman', 'banyak', 'males', 'buriq']","[('lawan', 'bot'), ('bot', 'bosen'), ('bosen', 'musuh'), ('musuh', 'kabur'), ('kabur', 'darah'), ('darah', 'sekarat'), ('sekarat', 'tengah'), ('tengah', 'teman'), ('teman', 'banyak'), ('banyak', 'males'), ('males', 'buriq')]"
"['ta', 'event', 'epik', 'drbian', 'sudah', 'gaca', 'kga', 'event', 'jgn', 'sosial', 'mending', 'sudah']","[('ta', 'event'), ('event', 'epik'), ('epik', 'drbian'), ('drbian', 'sudah'), ('sudah', 'gaca'), ('gaca', 'kga'), ('kga', 'event'), ('event', 'jgn'), ('jgn', 'sosial'), ('sosial', 'mending'), ('mending', 'sudah')]"
