userName,content,appVersion,content_clean,tokenized,filtered_tokens,stopwords_removed,stemmed_tokens,slang_replaced
Muhammad Rizwan,keren banget game,11.1.1.4,keren banget game,"['keren', 'banget', 'game']","['keren', 'banget', 'game']","['keren', 'banget']","['keren', 'banget', 'game']","['keren', 'banget', 'game']"
Zahrong rong,buruk...padahal pas mau main rank udah baik jaringan nya eh malah menghubungkan ulang nyeselin harus tunggu beberapa jam untuk main🙃💔,,buruk...padahal pas mau main rank udah baik jaringan nya eh malah menghubungkan ulang nyeselin harus tunggu beberapa jam untuk main🙃💔,"['buruk', '...', 'padahal', 'pas', 'mau', 'main', 'rank', 'udah', 'baik', 'jaringan', 'nya', 'eh', 'malah', 'menghubungkan', 'ulang', 'nyeselin', 'harus', 'tunggu', 'beberapa', 'jam', 'untuk', 'main🙃💔']","['buruk', 'padahal', 'pas', 'mau', 'main', 'rank', 'udah', 'baik', 'jaringan', 'nya', 'eh', 'malah', 'menghubungkan', 'ulang', 'nyeselin', 'harus', 'tunggu', 'beberapa', 'jam', 'untuk', 'main']","['buruk', 'baik', 'hubung', 'ulang', 'tunggu', 'beberapa']","['buruk', 'padahal', 'pas', 'mau', 'main', 'rank', 'udah', 'baik', 'jaring', 'nya', 'eh', 'malah', 'hubung', 'ulang', 'nyeselin', 'harus', 'tunggu', 'beberapa', 'jam', 'untuk', 'main']","['buruk', 'padahal', 'pas', 'mau', 'main', 'rank', 'udah', 'baik', 'jaring', 'nya', 'eh', 'malah', 'hubung', 'ulang', 'nyeselin', 'harus', 'tunggu', 'beberapa', 'jam', 'untuk', 'main']"
Dewe Made krisna,GAK LAYAK MAIN,,gak layak main,"['gak', 'layak', 'main']","['gak', 'layak', 'main']",['layak'],"['gak', 'layak', 'main']","['tidak', 'layak', 'main']"
Muhammad Panca mustakim,"game nya seru yah banyak player jagonya tapi biasanya tim buruk musuh hebat ,tapi itu membuat menantang",11.1.1.4,"game nya seru yah banyak player jagonya tapi biasanya tim buruk musuh hebat ,tapi itu membuat menantang","['game', 'nya', 'seru', 'yah', 'banyak', 'player', 'jagonya', 'tapi', 'biasanya', 'tim', 'buruk', 'musuh', 'hebat', ',', 'tapi', 'itu', 'membuat', 'menantang']","['game', 'nya', 'seru', 'yah', 'banyak', 'player', 'jagonya', 'tapi', 'biasanya', 'tim', 'buruk', 'musuh', 'hebat', 'tapi', 'itu', 'membuat', 'menantang']","['seru', 'banyak', 'jago', 'biasa', 'buruk', 'musuh', 'hebat', 'tantang']","['game', 'nya', 'seru', 'yah', 'banyak', 'player', 'jago', 'tapi', 'biasa', 'tim', 'buruk', 'musuh', 'hebat', 'tapi', 'itu', 'buat', 'tantang']","['game', 'nya', 'seru', 'yah', 'banyak', 'player', 'jago', 'tapi', 'biasa', 'team', 'buruk', 'musuh', 'hebat', 'tapi', 'itu', 'buat', 'tantang']"
Toko Barokah,terima kasih tencent telah membuat game sebagus ini jujur apa yang anda berikan kepada pemain sangat² bagus,11.1.1.4,terima kasih tencent telah membuat game sebagus ini jujur apa yang anda berikan kepada pemain sangat² bagus,"['terima', 'kasih', 'tencent', 'telah', 'membuat', 'game', 'sebagus', 'ini', 'jujur', 'apa', 'yang', 'anda', 'berikan', 'kepada', 'pemain', 'sangat²', 'bagus']","['terima', 'kasih', 'tencent', 'telah', 'membuat', 'game', 'sebagus', 'ini', 'jujur', 'apa', 'yang', 'anda', 'berikan', 'kepada', 'pemain', 'sangat', 'bagus']","['terimakasih', 'bagus', 'jujur', 'ikan', 'kepada', 'bagus']","['terima', 'kasih', 'tencent', 'telah', 'buat', 'game', 'bagus', 'ini', 'jujur', 'apa', 'yang', 'anda', 'ikan', 'kepada', 'main', 'sangat', 'bagus']","['terimakasih', 'kasih', 'tencent', 'telah', 'buat', 'game', 'bagus', 'ini', 'jujur', 'apa', 'yang', 'kamu', 'ikan', 'kepada', 'main', 'sangat', 'bagus']"
Stevelie Walukow,mending ini daripada moba legeng,11.1.1.4,mending ini daripada moba legeng,"['mending', 'ini', 'daripada', 'moba', 'legeng']","['mending', 'ini', 'daripada', 'moba', 'legeng']","['mending', 'legeng']","['mending', 'ini', 'daripada', 'moba', 'legeng']","['mending', 'ini', 'daripada', 'moba', 'legeng']"
arsito adi,seruuu asik kalo gabut aku bisa main ini yang bikin game ini aku laik,,seruuu asik kalo gabut aku bisa main ini yang bikin game ini aku laik,"['seruuu', 'asik', 'kalo', 'gabut', 'aku', 'bisa', 'main', 'ini', 'yang', 'bikin', 'game', 'ini', 'aku', 'laik']","['seru', 'asik', 'kalo', 'gabut', 'aku', 'bisa', 'main', 'ini', 'yang', 'bikin', 'game', 'ini', 'aku', 'laik']","['seru', 'asik', 'gabut', 'laik']","['seru', 'asik', 'kalo', 'gabut', 'aku', 'bisa', 'main', 'ini', 'yang', 'bikin', 'game', 'ini', 'aku', 'laik']","['seru', 'asik', 'kalau', 'gabut', 'aku', 'bisa', 'main', 'ini', 'yang', 'bikin', 'game', 'ini', 'aku', 'laik']"
zahra zahra,dark sistem team very crazy ku rasa jika kalah lebih banyak lebih baik dpt bonus bintang kalo menang,11.1.1.4,dark sistem team very crazy ku rasa jika kalah lebih banyak lebih baik dpt bonus bintang kalo menang,"['dark', 'sistem', 'team', 'very', 'crazy', 'ku', 'rasa', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'dpt', 'bonus', 'bintang', 'kalo', 'menang']","['dark', 'sistem', 'team', 'very', 'crazy', 'ku', 'rasa', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'dpt', 'bonus', 'bintang', 'kalo', 'menang']","['gelap', 'very', 'crazy', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'bonus', 'bintang', 'menang']","['dark', 'sistem', 'team', 'very', 'crazy', 'ku', 'rasa', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'dpt', 'bonus', 'bintang', 'kalo', 'menang']","['gelap', 'sistem', 'team', 'very', 'crazy', 'ku', 'rasa', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'dapat', 'bonus', 'bintang', 'kalau', 'menang']"
Muchlis Abdul Chohar,lelett,11.1.1.4,lelett,['lelett'],['lelett'],['lelett'],['lelett'],['lelett']
Siti halimah,aku ingin 100000 diamond plissss,10.5.1.9,aku ingin 100000 diamond plissss,"['aku', 'ingin', '100000', 'diamond', 'plissss']","['aku', 'ingin', 'diamond', 'plis']",['diamond'],"['aku', 'ingin', 'diamond', 'plis']","['aku', 'ingin', 'diamond', 'plis']"
Fox Tale,"animasi delay skill dan pergerakan di percepat buat beberapa hero licin di hok telalu banyak stun , sama kasih item pengurangan cc selain sepatu, sama hero sekelas sangguan ulti bisa reset bila kill musuh ini hero bergantung sama ulti, dan beberapa hero terlalu membutuhkan ulti dibikin balance biar agak sedikit sustand pas team fight. sama arcana tambahin spellvamp physical udah itu aja masukan dari saya terimakasih",,"animasi delay skill dan pergerakan di percepat buat beberapa hero licin di hok telalu banyak stun , sama kasih item pengurangan cc selain sepatu, sama hero sekelas sangguan ulti bisa reset bila kill musuh ini hero bergantung sama ulti, dan beberapa hero terlalu membutuhkan ulti dibikin balance biar agak sedikit sustand pas team fight. sama arcana tambahin spellvamp physical udah itu aja masukan dari saya terimakasih","['animasi', 'delay', 'skill', 'dan', 'pergerakan', 'di', 'percepat', 'buat', 'beberapa', 'hero', 'licin', 'di', 'hok', 'telalu', 'banyak', 'stun', ',', 'sama', 'kasih', 'item', 'pengurangan', 'cc', 'selain', 'sepatu', ',', 'sama', 'hero', 'sekelas', 'sangguan', 'ulti', 'bisa', 'reset', 'bila', 'kill', 'musuh', 'ini', 'hero', 'bergantung', 'sama', 'ulti', ',', 'dan', 'beberapa', 'hero', 'terlalu', 'membutuhkan', 'ulti', 'dibikin', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'pas', 'team', 'fight', '.', 'sama', 'arcana', 'tambahin', 'spellvamp', 'physical', 'udah', 'itu', 'aja', 'masukan', 'dari', 'saya', 'terimakasih']","['animasi', 'delay', 'skill', 'dan', 'pergerakan', 'di', 'percepat', 'buat', 'beberapa', 'hero', 'licin', 'di', 'hok', 'telalu', 'banyak', 'stun', 'sama', 'kasih', 'item', 'pengurangan', 'cc', 'selain', 'sepatu', 'sama', 'hero', 'sekelas', 'sangguan', 'ulti', 'bisa', 'reset', 'bila', 'kill', 'musuh', 'ini', 'hero', 'bergantung', 'sama', 'ulti', 'dan', 'beberapa', 'hero', 'terlalu', 'membutuhkan', 'ulti', 'dibikin', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'pas', 'team', 'fight', 'sama', 'arcana', 'tambahin', 'spellvamp', 'physical', 'udah', 'itu', 'aja', 'masukan', 'dari', 'saya', 'terimakasih']","['animasi', 'delay', 'skill', 'gera', 'cepat', 'beberapa', 'licin', 'talu', 'banyak', 'stun', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'kelas', 'sangguan', 'ulti', 'reset', 'bila', 'kill', 'musuh', 'gantung', 'ulti', 'beberapa', 'terlalu', 'butuh', 'ulti', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'fight', 'arcana', 'tambahin', 'spellvamp', 'physical', 'masuk', 'terimakasih']","['animasi', 'delay', 'skill', 'dan', 'gera', 'di', 'cepat', 'buat', 'beberapa', 'hero', 'licin', 'di', 'hok', 'talu', 'banyak', 'stun', 'sama', 'kasih', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'sama', 'hero', 'kelas', 'sangguan', 'ulti', 'bisa', 'reset', 'bila', 'kill', 'musuh', 'ini', 'hero', 'gantung', 'sama', 'ulti', 'dan', 'beberapa', 'hero', 'terlalu', 'butuh', 'ulti', 'bikin', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'pas', 'team', 'fight', 'sama', 'arcana', 'tambahin', 'spellvamp', 'physical', 'udah', 'itu', 'aja', 'masuk', 'dari', 'saya', 'terimakasih']","['animasi', 'delay', 'skill', 'dan', 'gera', 'di', 'cepat', 'buat', 'beberapa', 'hero', 'licin', 'di', 'hok', 'talu', 'banyak', 'stun', 'sama', 'kasih', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'sama', 'hero', 'kelas', 'sangguan', 'ulti', 'bisa', 'reset', 'bila', 'kill', 'musuh', 'ini', 'hero', 'gantung', 'sama', 'ulti', 'dan', 'beberapa', 'hero', 'terlalu', 'butuh', 'ulti', 'bikin', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'pas', 'team', 'fight', 'sama', 'arcana', 'tambahin', 'spellvamp', 'physical', 'udah', 'itu', 'aja', 'masuk', 'dari', 'aku', 'terimakasih']"
Iron Man,tolong di perbaiki masalh jaringan nya. sangat menggangu saat lagi main rank,11.1.1.4,tolong di perbaiki masalh jaringan nya. sangat menggangu saat lagi main rank,"['tolong', 'di', 'perbaiki', 'masalh', 'jaringan', 'nya', '.', 'sangat', 'menggangu', 'saat', 'lagi', 'main', 'rank']","['tolong', 'di', 'perbaiki', 'masalh', 'jaringan', 'nya', 'sangat', 'menggangu', 'saat', 'lagi', 'main', 'rank']","['tolong', 'baik', 'masalh', 'menggangu']","['tolong', 'di', 'baik', 'masalh', 'jaring', 'nya', 'sangat', 'menggangu', 'saat', 'lagi', 'main', 'rank']","['tolong', 'di', 'baik', 'masalh', 'jaring', 'nya', 'sangat', 'menggangu', 'saat', 'lagi', 'main', 'rank']"
Deswa 1234,gamenya bagus sekali tapi saya HP Samsung tapi saya HP Samsung Apakah kuat,,gamenya bagus sekali tapi saya hp samsung tapi saya hp samsung apakah kuat,"['gamenya', 'bagus', 'sekali', 'tapi', 'saya', 'hp', 'samsung', 'tapi', 'saya', 'hp', 'samsung', 'apakah', 'kuat']","['gamenya', 'bagus', 'sekali', 'tapi', 'saya', 'hp', 'samsung', 'tapi', 'saya', 'hp', 'samsung', 'apakah', 'kuat']","['bagus', 'samsung', 'samsung', 'apakah', 'kuat']","['gamenya', 'bagus', 'sekali', 'tapi', 'saya', 'hp', 'samsung', 'tapi', 'saya', 'hp', 'samsung', 'apakah', 'kuat']","['game', 'bagus', 'sekali', 'tapi', 'aku', 'hp', 'samsung', 'tapi', 'aku', 'hp', 'samsung', 'apakah', 'kuat']"
Reza Alvaro,game banyak bug ny jaringan nya rusak,11.1.1.4,game banyak bug ny jaringan nya rusak,"['game', 'banyak', 'bug', 'ny', 'jaringan', 'nya', 'rusak']","['game', 'banyak', 'bug', 'ny', 'jaringan', 'nya', 'rusak']","['banyak', 'bug', 'rusak']","['game', 'banyak', 'bug', 'ny', 'jaring', 'nya', 'rusak']","['game', 'banyak', 'bug', 'nya', 'jaring', 'nya', 'rusak']"
FAIDAH faidah,bagusss bgt ada hewan lucu pula di hok,,bagusss bgt ada hewan lucu pula di hok,"['bagusss', 'bgt', 'ada', 'hewan', 'lucu', 'pula', 'di', 'hok']","['bagus', 'bgt', 'ada', 'hewan', 'lucu', 'pula', 'di', 'hok']","['bagus', 'banget', 'hewan', 'lucu', 'pula']","['bagus', 'bgt', 'ada', 'hewan', 'lucu', 'pula', 'di', 'hok']","['bagus', 'banget', 'ada', 'hewan', 'lucu', 'pula', 'di', 'hok']"
Muhammad Yasir yahya Yasir,seru......,,seru......,"['seru', '......']",['seru'],['seru'],['seru'],['seru']
Feriando Agis,sangat cocok bagi yg ls di mlbb 🥰🥰,11.1.1.4,sangat cocok bagi yg ls di mlbb 🥰🥰,"['sangat', 'cocok', 'bagi', 'yg', 'ls', 'di', 'mlbb', '🥰🥰']","['sangat', 'cocok', 'bagi', 'yg', 'ls', 'di', 'mlbb']","['cocok', 'bagi', 'ls']","['sangat', 'cocok', 'bagi', 'yg', 'ls', 'di', 'mlbb']","['sangat', 'cocok', 'bagi', 'yang', 'ls', 'di', 'mlbb']"
VANDER 7070,saya suka,,saya suka,"['saya', 'suka']","['saya', 'suka']",['suka'],"['saya', 'suka']","['aku', 'suka']"
Den Fik,"game lu udah ada cheater 2 x gue kena, di report tapi ga ke baca sistem, payah",11.1.1.1,"game lu udah ada cheater 2 x gue kena, di report tapi ga ke baca sistem, payah","['game', 'lu', 'udah', 'ada', 'cheater', '2', 'x', 'gue', 'kena', ',', 'di', 'report', 'tapi', 'ga', 'ke', 'baca', 'sistem', ',', 'payah']","['game', 'lu', 'udah', 'ada', 'cheater', 'x', 'gue', 'kena', 'di', 'report', 'tapi', 'ga', 'ke', 'baca', 'sistem', 'payah']","['cheater', 'kena', 'report', 'payah']","['game', 'lu', 'udah', 'ada', 'cheater', 'x', 'gue', 'kena', 'di', 'report', 'tapi', 'ga', 'ke', 'baca', 'sistem', 'payah']","['game', 'kamu', 'udah', 'ada', 'cheater', 'kali', 'aku', 'kena', 'di', 'report', 'tapi', 'tidak', 'ke', 'baca', 'sistem', 'payah']"
Alistha Rahmadhania,Game bagus dan menarik banget,,game bagus dan menarik banget,"['game', 'bagus', 'dan', 'menarik', 'banget']","['game', 'bagus', 'dan', 'menarik', 'banget']","['bagus', 'tarik', 'banget']","['game', 'bagus', 'dan', 'tarik', 'banget']","['game', 'bagus', 'dan', 'tarik', 'banget']"
Rifaldo28 Abian07,geme burik kasih bintangc 1 aj,11.1.1.4,geme burik kasih bintangc 1 aj,"['geme', 'burik', 'kasih', 'bintangc', '1', 'aj']","['geme', 'burik', 'kasih', 'bintangc', 'aj']","['buruk', 'bintangc']","['geme', 'burik', 'kasih', 'bintangc', 'aj']","['game', 'buruk', 'kasih', 'bintangc', 'aja']"
Vina Ruru,sekarang download data gak bisa pake wifi dulu bisa lancar aja,11.1.1.4,sekarang download data gak bisa pake wifi dulu bisa lancar aja,"['sekarang', 'download', 'data', 'gak', 'bisa', 'pake', 'wifi', 'dulu', 'bisa', 'lancar', 'aja']","['sekarang', 'download', 'data', 'gak', 'bisa', 'pake', 'wifi', 'dulu', 'bisa', 'lancar', 'aja']","['sekarang', 'wifi', 'lancar']","['sekarang', 'download', 'data', 'gak', 'bisa', 'pake', 'wifi', 'dulu', 'bisa', 'lancar', 'aja']","['sekarang', 'download', 'data', 'tidak', 'bisa', 'pakai', 'wifi', 'dulu', 'bisa', 'lancar', 'aja']"
Sahroni Oni,"sering bug padahal jaringan gak ada masalah, terus yang di hukum malam player nya game gak adil game Auh gelap",11.1.1.4,"sering bug padahal jaringan gak ada masalah, terus yang di hukum malam player nya game gak adil game auh gelap","['sering', 'bug', 'padahal', 'jaringan', 'gak', 'ada', 'masalah', ',', 'terus', 'yang', 'di', 'hukum', 'malam', 'player', 'nya', 'game', 'gak', 'adil', 'game', 'auh', 'gelap']","['sering', 'bug', 'padahal', 'jaringan', 'gak', 'ada', 'masalah', 'terus', 'yang', 'di', 'hukum', 'malam', 'player', 'nya', 'game', 'gak', 'adil', 'game', 'auh', 'gelap']","['bug', 'masalah', 'hukum', 'malam', 'adil', 'auh', 'gelap']","['sering', 'bug', 'padahal', 'jaring', 'gak', 'ada', 'masalah', 'terus', 'yang', 'di', 'hukum', 'malam', 'player', 'nya', 'game', 'gak', 'adil', 'game', 'auh', 'gelap']","['sering', 'bug', 'padahal', 'jaring', 'tidak', 'ada', 'masalah', 'terus', 'yang', 'di', 'hukum', 'malam', 'player', 'nya', 'game', 'tidak', 'adil', 'game', 'auh', 'gelap']"
el ply20,next,10.5.1.15,next,['next'],['next'],['next'],['next'],['next']
Awal 001,Nanti saya comeback Lgi !!,10.2.1.7,nanti saya comeback lgi !!,"['nanti', 'saya', 'comeback', 'lgi', '!', '!']","['nanti', 'saya', 'comeback', 'lgi']","['nanti', 'comeback', 'lgi']","['nanti', 'saya', 'comeback', 'lgi']","['nanti', 'aku', 'comeback', 'lgi']"
Sylvester Nadek,sangat bagus,,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']",['bagus'],"['sangat', 'bagus']","['sangat', 'bagus']"
Andrey,"Uninstall dulu jaringan(data) lag ketika war 5v5,",11.1.1.4,"uninstall dulu jaringan(data) lag ketika war 5v5,","['uninstall', 'dulu', 'jaringan', '(', 'data', ')', 'lag', 'ketika', 'war', '5v5', ',']","['uninstall', 'dulu', 'jaringan', 'data', 'lag', 'ketika', 'war', 'v']","['uninstall', 'lag', 'v']","['uninstall', 'dulu', 'jaring', 'data', 'lag', 'ketika', 'war', 'v']","['uninstall', 'dulu', 'jaring', 'data', 'lag', 'ketika', 'war', 'v']"
Ukiyo Ace,game team tolol,,game team tolol,"['game', 'team', 'tolol']","['game', 'team', 'tolol']",['tolol'],"['game', 'team', 'tolol']","['game', 'team', 'tolol']"
