stopwords_removed,unigrams_hok
"['keren', 'banget']","[('keren',), ('banget',)]"
"['buruk', 'baik', 'hubung', 'ulang', 'tunggu', 'beberapa']","[('buruk',), ('baik',), ('hubung',), ('ulang',), ('tunggu',), ('beberapa',)]"
['layak'],"[('layak',)]"
"['seru', 'banyak', 'jago', 'biasa', 'buruk', 'musuh', 'hebat', 'tantang']","[('seru',), ('banyak',), ('jago',), ('biasa',), ('buruk',), ('musuh',), ('hebat',), ('tantang',)]"
"['terimakasih', 'bagus', 'jujur', 'ikan', 'kepada', 'bagus']","[('terimakasih',), ('bagus',), ('jujur',), ('ikan',), ('kepada',), ('bagus',)]"
"['mending', 'legeng']","[('mending',), ('legeng',)]"
"['seru', 'asik', 'gabut', 'laik']","[('seru',), ('asik',), ('gabut',), ('laik',)]"
"['gelap', 'very', 'crazy', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'bonus', 'bintang', 'menang']","[('gelap',), ('very',), ('crazy',), ('jika',), ('kalah',), ('lebih',), ('banyak',), ('lebih',), ('baik',), ('bonus',), ('bintang',), ('menang',)]"
['lelett'],"[('lelett',)]"
['diamond'],"[('diamond',)]"
"['animasi', 'delay', 'skill', 'gera', 'cepat', 'beberapa', 'licin', 'talu', 'banyak', 'stun', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'kelas', 'sangguan', 'ulti', 'reset', 'bila', 'kill', 'musuh', 'gantung', 'ulti', 'beberapa', 'terlalu', 'butuh', 'ulti', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'fight', 'arcana', 'tambahin', 'spellvamp', 'physical', 'masuk', 'terimakasih']","[('animasi',), ('delay',), ('skill',), ('gera',), ('cepat',), ('beberapa',), ('licin',), ('talu',), ('banyak',), ('stun',), ('item',), ('kurang',), ('cc',), ('selain',), ('sepatu',), ('kelas',), ('sangguan',), ('ulti',), ('reset',), ('bila',), ('kill',), ('musuh',), ('gantung',), ('ulti',), ('beberapa',), ('terlalu',), ('butuh',), ('ulti',), ('balance',), ('biar',), ('agak',), ('sedikit',), ('sustand',), ('fight',), ('arcana',), ('tambahin',), ('spellvamp',), ('physical',), ('masuk',), ('terimakasih',)]"
"['tolong', 'baik', 'masalh', 'menggangu']","[('tolong',), ('baik',), ('masalh',), ('menggangu',)]"
"['bagus', 'samsung', 'samsung', 'apakah', 'kuat']","[('bagus',), ('samsung',), ('samsung',), ('apakah',), ('kuat',)]"
"['banyak', 'bug', 'rusak']","[('banyak',), ('bug',), ('rusak',)]"
"['bagus', 'banget', 'hewan', 'lucu', 'pula']","[('bagus',), ('banget',), ('hewan',), ('lucu',), ('pula',)]"
['seru'],"[('seru',)]"
"['cocok', 'bagi', 'ls']","[('cocok',), ('bagi',), ('ls',)]"
['suka'],"[('suka',)]"
"['cheater', 'kena', 'report', 'payah']","[('cheater',), ('kena',), ('report',), ('payah',)]"
"['bagus', 'tarik', 'banget']","[('bagus',), ('tarik',), ('banget',)]"
"['buruk', 'bintangc']","[('buruk',), ('bintangc',)]"
"['sekarang', 'wifi', 'lancar']","[('sekarang',), ('wifi',), ('lancar',)]"
"['bug', 'masalah', 'hukum', 'malam', 'adil', 'auh', 'gelap']","[('bug',), ('masalah',), ('hukum',), ('malam',), ('adil',), ('auh',), ('gelap',)]"
['next'],"[('next',)]"
"['nanti', 'comeback', 'lgi']","[('nanti',), ('comeback',), ('lgi',)]"
['bagus'],"[('bagus',)]"
"['uninstall', 'lag', 'v']","[('uninstall',), ('lag',), ('v',)]"
['tolol'],"[('tolol',)]"
"['bagus', 'grafik', 'bagus', 'tolong', 'boros', 'mana', 'mana', 'tolong', 'lam', 'tolong']","[('bagus',), ('grafik',), ('bagus',), ('tolong',), ('boros',), ('mana',), ('mana',), ('tolong',), ('lam',), ('tolong',)]"
"['tolong', 'ringan', 'dihp', 'kentang']","[('tolong',), ('ringan',), ('dihp',), ('kentang',)]"
"['wah', 'gratis', 'sedikit', 'banget', 'untung', 'rotasi', 'minggu', 'sempat', 'minggu']","[('wah',), ('gratis',), ('sedikit',), ('banget',), ('untung',), ('rotasi',), ('minggu',), ('sempat',), ('minggu',)]"
"['lawan', 'bot', 'bosen', 'musuh', 'kabur', 'darah', 'sekarat', 'tengah', 'teman', 'banyak', 'males', 'buriq']","[('lawan',), ('bot',), ('bosen',), ('musuh',), ('kabur',), ('darah',), ('sekarat',), ('tengah',), ('teman',), ('banyak',), ('males',), ('buriq',)]"
"['ta', 'event', 'epik', 'drbian', 'sudah', 'gaca', 'kga', 'event', 'jgn', 'sosial', 'mending', 'sudah']","[('ta',), ('event',), ('epik',), ('drbian',), ('sudah',), ('gaca',), ('kga',), ('event',), ('jgn',), ('sosial',), ('mending',), ('sudah',)]"
"['butuh', 'gambar', 'lore', 'lebih', 'jelas', 'susah', 'paham', 'lore', 'lebih', 'fokus', 'bahkan', 'gambar', 'primeara', 'tak', 'tulis', 'jelas', 'banyak', 'mi', 'cukup', 'susah', 'paham', 'lore', 'harap', 'gambar', 'lore', 'lebih', 'jelas', 'lain']","[('butuh',), ('gambar',), ('lore',), ('lebih',), ('jelas',), ('susah',), ('paham',), ('lore',), ('lebih',), ('fokus',), ('bahkan',), ('gambar',), ('primeara',), ('tak',), ('tulis',), ('jelas',), ('banyak',), ('mi',), ('cukup',), ('susah',), ('paham',), ('lore',), ('harap',), ('gambar',), ('lore',), ('lebih',), ('jelas',), ('lain',)]"
"['force', 'close', 'update', 'begini']","[('force',), ('close',), ('update',), ('begini',)]"
"['t', 'l', 'l', 'mending', 'legends']","[('t',), ('l',), ('l',), ('mending',), ('legends',)]"
