stopwords_removed,3-gram
"['malas', 'nak', 'cakap', 'dh', 'enemy', 'dh', 'pro', 'dh', 'noob', 'paling', 'malas', 'rendah', 'nyasar', 'sendiri', 'sedang', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'update', 'sekaranggood', 'bye', 'forever']","['bekas_immortal_dh', 'cakap_dh_enemy', 'cam_sial_update', 'dh_cam_sial', 'dh_enemy_dh', 'dh_noob_paling', 'dh_pro_dh', 'enemy_dh_pro', 'enmy_sampai_bekas', 'immortal_dh_cam', 'malas_nak_cakap', 'malas_rendah_nyasar', 'nak_cakap_dh', 'noob_paling_malas', 'nyasar_sendiri_sedang', 'paling_malas_rendah', 'pro_dh_noob', 'rendah_nyasar_sendiri', 'sampai_bekas_immortal', 'sedang_enmy_sampai', 'sekaranggood_bye_forever', 'sendiri_sedang_enmy', 'sial_update_sekaranggood', 'update_sekaranggood_bye']"
['pamaniyasarusakali'],[]
['yatim'],[]
"['bagus', 'suka', 'ikan', 'ws', 'lebih', 'banyak']","['bagus_suka_ikan', 'ikan_ws_lebih', 'suka_ikan_ws', 'ws_lebih_banyak']"
"['semenjak', 'ganti', 'season', 'baru', 'makin', 'ngaco', 'matching', 'bug', 'lag', 'sinyal', 'bagus', 'entah', 'cheat', 'sebab', 'lag', 'makin', 'jelas', 'pokok']","['bagus_entah_cheat', 'baru_makin_ngaco', 'bug_lag_sinyal', 'cheat_sebab_lag', 'entah_cheat_sebab', 'ganti_season_baru', 'lag_makin_jelas', 'lag_sinyal_bagus', 'makin_jelas_pokok', 'makin_ngaco_matching', 'matching_bug_lag', 'ngaco_matching_bug', 'season_baru_makin', 'sebab_lag_makin', 'semenjak_ganti_season', 'sinyal_bagus_entah']"
"['bagus', 'tolong', 'baik', 'muntun', 'renk', 'computer', 'musuh', 'serasa', 'joki', 'beri', 'lawan', 'padan', 'baik', 'pindah']","['bagus_tolong_baik', 'baik_muntun_renk', 'beri_lawan_padan', 'computer_musuh_serasa', 'joki_beri_lawan', 'lawan_padan_baik', 'muntun_renk_computer', 'musuh_serasa_joki', 'padan_baik_pindah', 'renk_computer_musuh', 'serasa_joki_beri', 'tolong_baik_muntun']"
"['minus', 'permainanan', 'se', 'imbang', 'mvp', 'kalah', 'mah', 'ilangin', 'darat', 'cape']","['ilangin_darat_cape', 'imbang_mvp_kalah', 'kalah_mah_ilangin', 'mah_ilangin_darat', 'minus_permainanan_se', 'mvp_kalah_mah', 'permainanan_se_imbang', 'se_imbang_mvp']"
"['seru', 'banget']",[]
"['buruk', 'efek', 'skin', 'biasa', 'hera', 'aneh', 'tampil', 'majapahit', 'rata', 'win', 'kalah', 'berkalikali', 'stres', 'ginian', 'banyak', 'banget', 'gelap']","['aneh_tampil_majapahit', 'banyak_banget_gelap', 'berkalikali_stres_ginian', 'biasa_hera_aneh', 'buruk_efek_skin', 'efek_skin_biasa', 'ginian_banyak_banget', 'hera_aneh_tampil', 'kalah_berkalikali_stres', 'majapahit_rata_win', 'rata_win_kalah', 'skin_biasa_hera', 'stres_ginian_banyak', 'tampil_majapahit_rata', 'win_kalah_berkalikali']"
"['kenapa', 'banyak', 'draksistem', 'capek', 'trol', 'jelas']","['banyak_draksistem_capek', 'capek_trol_jelas', 'draksistem_capek_trol', 'kenapa_banyak_draksistem']"
"['update', 'patch', 'baru', 'sekarang', 'kk', 'stuck', 'loading', 'afk', 'sampai', 'menit', 'skoth', 'kah']","['afk_sampai_menit', 'baru_sekarang_kk', 'kk_stuck_loading', 'loading_afk_sampai', 'menit_skoth_kah', 'patch_baru_sekarang', 'sampai_menit_skoth', 'sekarang_kk_stuck', 'stuck_loading_afk', 'update_patch_baru']"
"['tanding', 'stuck', 'lama', 'keluar', 'tanding', 'ngelakuin', 'gimana']","['keluar_tanding_ngelakuin', 'lama_keluar_tanding', 'stuck_lama_keluar', 'tanding_ngelakuin_gimana', 'tanding_stuck_lama']"
"['knp', 'akun', 'kena', 'bug', 'verifikasi', 'langkah', 'kena', 'verifikasi', 'langkah', 'tolong', 'jawab']","['akun_kena_bug', 'bug_verifikasi_langkah', 'kena_bug_verifikasi', 'kena_verifikasi_langkah', 'knp_akun_kena', 'langkah_kena_verifikasi', 'langkah_tolong_jawab', 'verifikasi_langkah_kena', 'verifikasi_langkah_tolong']"
