stopwords_removed,bigrams_mlbb
"['malas', 'nak', 'cakap', 'dh', 'enemy', 'dh', 'pro', 'dh', 'noob', 'paling', 'malas', 'rendah', 'nyasar', 'sendiri', 'sedang', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'update', 'sekaranggood', 'bye', 'forever']","[('malas', 'nak'), ('nak', 'cakap'), ('cakap', 'dh'), ('dh', 'enemy'), ('enemy', 'dh'), ('dh', 'pro'), ('pro', 'dh'), ('dh', 'noob'), ('noob', 'paling'), ('paling', 'malas'), ('malas', 'rendah'), ('rendah', 'nyasar'), ('nyasar', 'sendiri'), ('sendiri', 'sedang'), ('sedang', 'enmy'), ('enmy', 'sampai'), ('sampai', 'bekas'), ('bekas', 'immortal'), ('immortal', 'dh'), ('dh', 'cam'), ('cam', 'sial'), ('sial', 'update'), ('update', 'sekaranggood'), ('sekaranggood', 'bye'), ('bye', 'forever')]"
['pamaniyasarusakali'],[]
['yatim'],[]
"['bagus', 'suka', 'ikan', 'ws', 'lebih', 'banyak']","[('bagus', 'suka'), ('suka', 'ikan'), ('ikan', 'ws'), ('ws', 'lebih'), ('lebih', 'banyak')]"
"['semenjak', 'ganti', 'season', 'baru', 'makin', 'ngaco', 'matching', 'bug', 'lag', 'sinyal', 'bagus', 'entah', 'cheat', 'sebab', 'lag', 'makin', 'jelas', 'pokok']","[('semenjak', 'ganti'), ('ganti', 'season'), ('season', 'baru'), ('baru', 'makin'), ('makin', 'ngaco'), ('ngaco', 'matching'), ('matching', 'bug'), ('bug', 'lag'), ('lag', 'sinyal'), ('sinyal', 'bagus'), ('bagus', 'entah'), ('entah', 'cheat'), ('cheat', 'sebab'), ('sebab', 'lag'), ('lag', 'makin'), ('makin', 'jelas'), ('jelas', 'pokok')]"
"['bagus', 'tolong', 'baik', 'muntun', 'renk', 'computer', 'musuh', 'serasa', 'joki', 'beri', 'lawan', 'padan', 'baik', 'pindah']","[('bagus', 'tolong'), ('tolong', 'baik'), ('baik', 'muntun'), ('muntun', 'renk'), ('renk', 'computer'), ('computer', 'musuh'), ('musuh', 'serasa'), ('serasa', 'joki'), ('joki', 'beri'), ('beri', 'lawan'), ('lawan', 'padan'), ('padan', 'baik'), ('baik', 'pindah')]"
"['minus', 'permainanan', 'se', 'imbang', 'mvp', 'kalah', 'mah', 'ilangin', 'darat', 'cape']","[('minus', 'permainanan'), ('permainanan', 'se'), ('se', 'imbang'), ('imbang', 'mvp'), ('mvp', 'kalah'), ('kalah', 'mah'), ('mah', 'ilangin'), ('ilangin', 'darat'), ('darat', 'cape')]"
"['seru', 'banget']","[('seru', 'banget')]"
"['buruk', 'efek', 'skin', 'biasa', 'hera', 'aneh', 'tampil', 'majapahit', 'rata', 'win', 'kalah', 'berkalikali', 'stres', 'ginian', 'banyak', 'banget', 'gelap']","[('buruk', 'efek'), ('efek', 'skin'), ('skin', 'biasa'), ('biasa', 'hera'), ('hera', 'aneh'), ('aneh', 'tampil'), ('tampil', 'majapahit'), ('majapahit', 'rata'), ('rata', 'win'), ('win', 'kalah'), ('kalah', 'berkalikali'), ('berkalikali', 'stres'), ('stres', 'ginian'), ('ginian', 'banyak'), ('banyak', 'banget'), ('banget', 'gelap')]"
"['kenapa', 'banyak', 'draksistem', 'capek', 'trol', 'jelas']","[('kenapa', 'banyak'), ('banyak', 'draksistem'), ('draksistem', 'capek'), ('capek', 'trol'), ('trol', 'jelas')]"
"['update', 'patch', 'baru', 'sekarang', 'kk', 'stuck', 'loading', 'afk', 'sampai', 'menit', 'skoth', 'kah']","[('update', 'patch'), ('patch', 'baru'), ('baru', 'sekarang'), ('sekarang', 'kk'), ('kk', 'stuck'), ('stuck', 'loading'), ('loading', 'afk'), ('afk', 'sampai'), ('sampai', 'menit'), ('menit', 'skoth'), ('skoth', 'kah')]"
"['tanding', 'stuck', 'lama', 'keluar', 'tanding', 'ngelakuin', 'gimana']","[('tanding', 'stuck'), ('stuck', 'lama'), ('lama', 'keluar'), ('keluar', 'tanding'), ('tanding', 'ngelakuin'), ('ngelakuin', 'gimana')]"
"['knp', 'akun', 'kena', 'bug', 'verifikasi', 'langkah', 'kena', 'verifikasi', 'langkah', 'tolong', 'jawab']","[('knp', 'akun'), ('akun', 'kena'), ('kena', 'bug'), ('bug', 'verifikasi'), ('verifikasi', 'langkah'), ('langkah', 'kena'), ('kena', 'verifikasi'), ('verifikasi', 'langkah'), ('langkah', 'tolong'), ('tolong', 'jawab')]"
"['mending', 'gausah', 'banyak', 'draks', 'bag', 'tu', 'ter', 'parah', 'pernah', 'alamin', 'mending', 'ff', 'pubg', 'bloods', 'trek', 'ghenshingimana', 'mythic', 'ngesetak', 'ketemu', 'muntum', 'dia', 'lukas']","[('mending', 'gausah'), ('gausah', 'banyak'), ('banyak', 'draks'), ('draks', 'bag'), ('bag', 'tu'), ('tu', 'ter'), ('ter', 'parah'), ('parah', 'pernah'), ('pernah', 'alamin'), ('alamin', 'mending'), ('mending', 'ff'), ('ff', 'pubg'), ('pubg', 'bloods'), ('bloods', 'trek'), ('trek', 'ghenshingimana'), ('ghenshingimana', 'mythic'), ('mythic', 'ngesetak'), ('ngesetak', 'ketemu'), ('ketemu', 'muntum'), ('muntum', 'dia'), ('dia', 'lukas')]"
"['bagus', 'dalam', 'segi', 'skin', 'keren', 'keren', 'kenapa', 'gimana', 'gitu', 'tinggi', 'tinggi', 'bocil', 'mityik', 'susah', 'naik']","[('bagus', 'dalam'), ('dalam', 'segi'), ('segi', 'skin'), ('skin', 'keren'), ('keren', 'keren'), ('keren', 'kenapa'), ('kenapa', 'gimana'), ('gimana', 'gitu'), ('gitu', 'tinggi'), ('tinggi', 'tinggi'), ('tinggi', 'bocil'), ('bocil', 'mityik'), ('mityik', 'susah'), ('susah', 'naik')]"
"['sumpah', 'marah', 'pasti', 'kalah', 'maksud', 'gimana', 'sengaja', 'biar', 'kalah', 'stuck', 'ken', 'ngerasain', 'mytic', 'sampai', 'ngeluarin', 'mutiara', 'tolong', 'kerjasamanya']","[('sumpah', 'marah'), ('marah', 'pasti'), ('pasti', 'kalah'), ('kalah', 'maksud'), ('maksud', 'gimana'), ('gimana', 'sengaja'), ('sengaja', 'biar'), ('biar', 'kalah'), ('kalah', 'stuck'), ('stuck', 'ken'), ('ken', 'ngerasain'), ('ngerasain', 'mytic'), ('mytic', 'sampai'), ('sampai', 'ngeluarin'), ('ngeluarin', 'mutiara'), ('mutiara', 'tolong'), ('tolong', 'kerjasamanya')]"
"['banyak', 'update', 'baru', 'makin', 'seru', 'bug', 'alam', 'buruk', 'lancar', 'bagus', 'guna', 'dalam', 'lag', 'sudah', 'mati', 'lancar', 'asa', 'pernah', 'fix', 'masalah', 'apakah', 'pihak', 'sengaja', 'sudah', 'banyak', 'masalah', 'masalah', 'pernah', 'tanggap', 'pihak']","[('banyak', 'update'), ('update', 'baru'), ('baru', 'makin'), ('makin', 'seru'), ('seru', 'bug'), ('bug', 'alam'), ('alam', 'buruk'), ('buruk', 'lancar'), ('lancar', 'bagus'), ('bagus', 'guna'), ('guna', 'dalam'), ('dalam', 'lag'), ('lag', 'sudah'), ('sudah', 'mati'), ('mati', 'lancar'), ('lancar', 'asa'), ('asa', 'pernah'), ('pernah', 'fix'), ('fix', 'masalah'), ('masalah', 'apakah'), ('apakah', 'pihak'), ('pihak', 'sengaja'), ('sengaja', 'sudah'), ('sudah', 'banyak'), ('banyak', 'masalah'), ('masalah', 'masalah'), ('masalah', 'pernah'), ('pernah', 'tanggap'), ('tanggap', 'pihak')]"
"['macem', 'tolol', 'sinyal', 'hilang', 'sendiri', 'full', 'sinyal', 'dimatiin', 'gerak']","[('macem', 'tolol'), ('tolol', 'sinyal'), ('sinyal', 'hilang'), ('hilang', 'sendiri'), ('sendiri', 'full'), ('full', 'sinyal'), ('sinyal', 'dimatiin'), ('dimatiin', 'gerak')]"
"['buruk', 'kontol', 'baba']","[('buruk', 'kontol'), ('kontol', 'baba')]"
"['lumayan', 'dikenalin', 'emry']","[('lumayan', 'dikenalin'), ('dikenalin', 'emry')]"
"['bodoh', 'sudah', 'top', 'up', 'banyak', 'cuma', 'kalah', 'keren']","[('bodoh', 'sudah'), ('sudah', 'top'), ('top', 'up'), ('up', 'banyak'), ('banyak', 'cuma'), ('cuma', 'kalah'), ('kalah', 'keren')]"
"['buruk', 'update', 'yng', 'sekarang', 'buruk', 'offline', 'pass', 'masuk', 'pilih', 'mulai', 'tulis', 'gitu', 'pass', 'pencet', 'oke', 'mulai', 'sendiri', 'lag', 'keluar', 'sendiri', 'baik', 'pliss', 'maaf', 'rate', 'cuma', 'dua', 'bintang', 'baik', 'terimakasih', 'maaf', 'terlalu', 'panjang']","[('buruk', 'update'), ('update', 'yng'), ('yng', 'sekarang'), ('sekarang', 'buruk'), ('buruk', 'offline'), ('offline', 'pass'), ('pass', 'masuk'), ('masuk', 'pilih'), ('pilih', 'mulai'), ('mulai', 'tulis'), ('tulis', 'gitu'), ('gitu', 'pass'), ('pass', 'pencet'), ('pencet', 'oke'), ('oke', 'mulai'), ('mulai', 'sendiri'), ('sendiri', 'lag'), ('lag', 'keluar'), ('keluar', 'sendiri'), ('sendiri', 'baik'), ('baik', 'pliss'), ('pliss', 'maaf'), ('maaf', 'rate'), ('rate', 'cuma'), ('cuma', 'dua'), ('dua', 'bintang'), ('bintang', 'baik'), ('baik', 'terimakasih'), ('terimakasih', 'maaf'), ('maaf', 'terlalu'), ('terlalu', 'panjang')]"
['otak'],[]
"['gblk', 'beri', 'gaperna', 'benar', 'mm', 'anjg']","[('gblk', 'beri'), ('beri', 'gaperna'), ('gaperna', 'benar'), ('benar', 'mm'), ('mm', 'anjg')]"
"['lumayan', 'ngendali', 'pasti', 'seru', 'lawan', 'computer', 'maksud', 'skin', 'gratis', 'rendom']","[('lumayan', 'ngendali'), ('ngendali', 'pasti'), ('pasti', 'seru'), ('seru', 'lawan'), ('lawan', 'computer'), ('computer', 'maksud'), ('maksud', 'skin'), ('skin', 'gratis'), ('gratis', 'rendom')]"
"['buruk', 'banyak', 'cheater', 'tambah', 'tambah', 'jelek', 'kurang', 'bagus', 'sengaja', 'bintang', 'otw', 'uninstal']","[('buruk', 'banyak'), ('banyak', 'cheater'), ('cheater', 'tambah'), ('tambah', 'tambah'), ('tambah', 'jelek'), ('jelek', 'kurang'), ('kurang', 'bagus'), ('bagus', 'sengaja'), ('sengaja', 'bintang'), ('bintang', 'otw'), ('otw', 'uninstal')]"
"['makingg', 'adil', 'massa', 'ketemu', 'legenda', 'dmna', 'letak', 'adil', 'dri', 'dlu', 'smpee', 'skrngg', 'kya', 'gth', 'aneh']","[('makingg', 'adil'), ('adil', 'massa'), ('massa', 'ketemu'), ('ketemu', 'legenda'), ('legenda', 'dmna'), ('dmna', 'letak'), ('letak', 'adil'), ('adil', 'dri'), ('dri', 'dlu'), ('dlu', 'smpee'), ('smpee', 'skrngg'), ('skrngg', 'kya'), ('kya', 'gth'), ('gth', 'aneh')]"
['mengibur'],[]
"['perbaikin', 'terlalu', 'delaylag', 'padalan', 'bagus']","[('perbaikin', 'terlalu'), ('terlalu', 'delaylag'), ('delaylag', 'padalan'), ('padalan', 'bagus')]"
"['stres', 'puyeng', 'satu', 'ujung', 'losetreak', 'trs']","[('stres', 'puyeng'), ('puyeng', 'satu'), ('satu', 'ujung'), ('ujung', 'losetreak'), ('losetreak', 'trs')]"
"['epik', 'benar', 'lahh', 'ey', 'rusak', 'dongg', 'susah', 'kalah', 'lebih', 'baik', 'bintang', 'satu']","[('epik', 'benar'), ('benar', 'lahh'), ('lahh', 'ey'), ('ey', 'rusak'), ('rusak', 'dongg'), ('dongg', 'susah'), ('susah', 'kalah'), ('kalah', 'lebih'), ('lebih', 'baik'), ('baik', 'bintang'), ('bintang', 'satu')]"
