userName,content,score,at,appVersion,content_clean
JIDAPOWER JIDA,malas nak cakap lagi dh enemy dh la pro tim dh la noob lagi paling malas lagi tim yang rank rendah nyasar ke tim sendiri sedangkan enmy sampai bekas immortal dh cam sial la update sekarang👎👎👎good bye forever,1,2025-10-08 14:30:16,2.1.20.11202,malas nak cakap lagi dh enemy dh la pro tim dh la noob lagi paling malas lagi tim yang rank rendah nyasar ke tim sendiri sedangkan enmy sampai bekas immortal dh cam sial la update sekarang👎👎👎good bye forever
muhammad hkim,pamaniyasarusakali,5,2025-10-08 14:28:44,,pamaniyasarusakali
Galih Najid,game ytim,2,2025-10-08 14:28:31,2.1.18.11201,game ytim
Muhammad Nibras,bagus saya suka tapi berikan saya ws lebih banyak lagi,5,2025-10-08 14:28:22,2.1.18.11201,bagus saya suka tapi berikan saya ws lebih banyak lagi
Ken Chuu,udah semenjak ganti season baru ini . makin ngaco .dari matching player .jaringan bug dan ngeleg padahal sinyal bagus . player yang entah pake cheat atau ga yang menyebabkan lag. makin ga jelas pokoknya.,2,2025-10-08 14:28:09,,udah semenjak ganti season baru ini . makin ngaco .dari matching player .jaringan bug dan ngeleg padahal sinyal bagus . player yang entah pake cheat atau ga yang menyebabkan lag. makin ga jelas pokoknya.
IND khadafi,game nya udah bagus tapi. tolong perbaikilah muntun masak main renk tim kayak computer musuh serasa penjoki beri lawan dan tim yg sepadan lah kalok gak di perbaiki ku pindah game sebelah/ HOK,5,2025-10-08 14:27:16,2.1.18.11201,game nya udah bagus tapi. tolong perbaikilah muntun masak main renk tim kayak computer musuh serasa penjoki beri lawan dan tim yg sepadan lah kalok gak di perbaiki ku pindah game sebelah/ hok
Adam,minusnya permainanan nya gk se imbang gw main solo mvp mulu tapi kalah mulu kalau bisa mah ilangin tuh darat sistem monton gw cape,2,2025-10-08 14:27:08,2.1.18.11201,minusnya permainanan nya gk se imbang gw main solo mvp mulu tapi kalah mulu kalau bisa mah ilangin tuh darat sistem monton gw cape
Ilda Dada,ml seru bet,5,2025-10-08 14:26:20,,ml seru bet
Riki Icikiwir,"game buruk efek skin biasa aja, hera aneh, tampilan Majapahit. Team tidak merata win 1x kalah berkali-kali gw udah stres main kek ginian banyak banget drak sistem kek yang buat game",1,2025-10-08 14:26:06,,"game buruk efek skin biasa aja, hera aneh, tampilan majapahit. team tidak merata win 1x kalah berkali-kali gw udah stres main kek ginian banyak banget drak sistem kek yang buat game"
Mar yadi,kenapa banyak draksistem gua capek monton di trol game gak jelasss,1,2025-10-08 14:25:09,2.1.18.11201,kenapa banyak draksistem gua capek monton di trol game gak jelasss
