stopwords_removed,unigrams_mlbb
"['malas', 'nak', 'cakap', 'dh', 'enemy', 'dh', 'pro', 'dh', 'noob', 'paling', 'malas', 'rendah', 'nyasar', 'sendiri', 'sedang', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'update', 'sekaranggood', 'bye', 'forever']","[('malas',), ('nak',), ('cakap',), ('dh',), ('enemy',), ('dh',), ('pro',), ('dh',), ('noob',), ('paling',), ('malas',), ('rendah',), ('nyasar',), ('sendiri',), ('sedang',), ('enmy',), ('sampai',), ('bekas',), ('immortal',), ('dh',), ('cam',), ('sial',), ('update',), ('sekaranggood',), ('bye',), ('forever',)]"
['pamaniyasarusakali'],"[('pamaniyasarusakali',)]"
['yatim'],"[('yatim',)]"
"['bagus', 'suka', 'ikan', 'ws', 'lebih', 'banyak']","[('bagus',), ('suka',), ('ikan',), ('ws',), ('lebih',), ('banyak',)]"
"['semenjak', 'ganti', 'season', 'baru', 'makin', 'ngaco', 'matching', 'bug', 'lag', 'sinyal', 'bagus', 'entah', 'cheat', 'sebab', 'lag', 'makin', 'jelas', 'pokok']","[('semenjak',), ('ganti',), ('season',), ('baru',), ('makin',), ('ngaco',), ('matching',), ('bug',), ('lag',), ('sinyal',), ('bagus',), ('entah',), ('cheat',), ('sebab',), ('lag',), ('makin',), ('jelas',), ('pokok',)]"
"['bagus', 'tolong', 'baik', 'muntun', 'renk', 'computer', 'musuh', 'serasa', 'joki', 'beri', 'lawan', 'padan', 'baik', 'pindah']","[('bagus',), ('tolong',), ('baik',), ('muntun',), ('renk',), ('computer',), ('musuh',), ('serasa',), ('joki',), ('beri',), ('lawan',), ('padan',), ('baik',), ('pindah',)]"
"['minus', 'permainanan', 'se', 'imbang', 'mvp', 'kalah', 'mah', 'ilangin', 'darat', 'cape']","[('minus',), ('permainanan',), ('se',), ('imbang',), ('mvp',), ('kalah',), ('mah',), ('ilangin',), ('darat',), ('cape',)]"
"['seru', 'banget']","[('seru',), ('banget',)]"
"['buruk', 'efek', 'skin', 'biasa', 'hera', 'aneh', 'tampil', 'majapahit', 'rata', 'win', 'kalah', 'berkalikali', 'stres', 'ginian', 'banyak', 'banget', 'gelap']","[('buruk',), ('efek',), ('skin',), ('biasa',), ('hera',), ('aneh',), ('tampil',), ('majapahit',), ('rata',), ('win',), ('kalah',), ('berkalikali',), ('stres',), ('ginian',), ('banyak',), ('banget',), ('gelap',)]"
"['kenapa', 'banyak', 'draksistem', 'capek', 'trol', 'jelas']","[('kenapa',), ('banyak',), ('draksistem',), ('capek',), ('trol',), ('jelas',)]"
"['update', 'patch', 'baru', 'sekarang', 'kk', 'stuck', 'loading', 'afk', 'sampai', 'menit', 'skoth', 'kah']","[('update',), ('patch',), ('baru',), ('sekarang',), ('kk',), ('stuck',), ('loading',), ('afk',), ('sampai',), ('menit',), ('skoth',), ('kah',)]"
"['tanding', 'stuck', 'lama', 'keluar', 'tanding', 'ngelakuin', 'gimana']","[('tanding',), ('stuck',), ('lama',), ('keluar',), ('tanding',), ('ngelakuin',), ('gimana',)]"
"['knp', 'akun', 'kena', 'bug', 'verifikasi', 'langkah', 'kena', 'verifikasi', 'langkah', 'tolong', 'jawab']","[('knp',), ('akun',), ('kena',), ('bug',), ('verifikasi',), ('langkah',), ('kena',), ('verifikasi',), ('langkah',), ('tolong',), ('jawab',)]"
"['mending', 'gausah', 'banyak', 'draks', 'bag', 'tu', 'ter', 'parah', 'pernah', 'alamin', 'mending', 'ff', 'pubg', 'bloods', 'trek', 'ghenshingimana', 'mythic', 'ngesetak', 'ketemu', 'muntum', 'dia', 'lukas']","[('mending',), ('gausah',), ('banyak',), ('draks',), ('bag',), ('tu',), ('ter',), ('parah',), ('pernah',), ('alamin',), ('mending',), ('ff',), ('pubg',), ('bloods',), ('trek',), ('ghenshingimana',), ('mythic',), ('ngesetak',), ('ketemu',), ('muntum',), ('dia',), ('lukas',)]"
"['bagus', 'dalam', 'segi', 'skin', 'keren', 'keren', 'kenapa', 'gimana', 'gitu', 'tinggi', 'tinggi', 'bocil', 'mityik', 'susah', 'naik']","[('bagus',), ('dalam',), ('segi',), ('skin',), ('keren',), ('keren',), ('kenapa',), ('gimana',), ('gitu',), ('tinggi',), ('tinggi',), ('bocil',), ('mityik',), ('susah',), ('naik',)]"
"['sumpah', 'marah', 'pasti', 'kalah', 'maksud', 'gimana', 'sengaja', 'biar', 'kalah', 'stuck', 'ken', 'ngerasain', 'mytic', 'sampai', 'ngeluarin', 'mutiara', 'tolong', 'kerjasamanya']","[('sumpah',), ('marah',), ('pasti',), ('kalah',), ('maksud',), ('gimana',), ('sengaja',), ('biar',), ('kalah',), ('stuck',), ('ken',), ('ngerasain',), ('mytic',), ('sampai',), ('ngeluarin',), ('mutiara',), ('tolong',), ('kerjasamanya',)]"
"['banyak', 'update', 'baru', 'makin', 'seru', 'bug', 'alam', 'buruk', 'lancar', 'bagus', 'guna', 'dalam', 'lag', 'sudah', 'mati', 'lancar', 'asa', 'pernah', 'fix', 'masalah', 'apakah', 'pihak', 'sengaja', 'sudah', 'banyak', 'masalah', 'masalah', 'pernah', 'tanggap', 'pihak']","[('banyak',), ('update',), ('baru',), ('makin',), ('seru',), ('bug',), ('alam',), ('buruk',), ('lancar',), ('bagus',), ('guna',), ('dalam',), ('lag',), ('sudah',), ('mati',), ('lancar',), ('asa',), ('pernah',), ('fix',), ('masalah',), ('apakah',), ('pihak',), ('sengaja',), ('sudah',), ('banyak',), ('masalah',), ('masalah',), ('pernah',), ('tanggap',), ('pihak',)]"
"['macem', 'tolol', 'sinyal', 'hilang', 'sendiri', 'full', 'sinyal', 'dimatiin', 'gerak']","[('macem',), ('tolol',), ('sinyal',), ('hilang',), ('sendiri',), ('full',), ('sinyal',), ('dimatiin',), ('gerak',)]"
"['buruk', 'kontol', 'baba']","[('buruk',), ('kontol',), ('baba',)]"
"['lumayan', 'dikenalin', 'emry']","[('lumayan',), ('dikenalin',), ('emry',)]"
"['bodoh', 'sudah', 'top', 'up', 'banyak', 'cuma', 'kalah', 'keren']","[('bodoh',), ('sudah',), ('top',), ('up',), ('banyak',), ('cuma',), ('kalah',), ('keren',)]"
