userName,content,label
Muhammad Rizwan,keren banget game,positive
Zahrong rong,buruk...padahal pas mau main rank udah baik jaringan nya eh malah menghubungkan ulang nyeselin harus tunggu beberapa jam untuk main🙃💔,negative
Dewe Made krisna,GAK LAYAK MAIN,positive
Muhammad Panca mustakim,"game nya seru yah banyak player jagonya tapi biasanya tim buruk musuh hebat ,tapi itu membuat menantang",positive
Toko Barokah,terima kasih tencent telah membuat game sebagus ini jujur apa yang anda berikan kepada pemain sangat² bagus,positive
Stevelie Walukow,mending ini daripada moba legeng,neutral
arsito adi,seruuu asik kalo gabut aku bisa main ini yang bikin game ini aku laik,positive
zahra zahra,dark sistem team very crazy ku rasa jika kalah lebih banyak lebih baik dpt bonus bintang kalo menang,negative
Muchlis Abdul Chohar,lelett,negative
Fox Tale,"animasi delay skill dan pergerakan di percepat buat beberapa hero licin di hok telalu banyak stun , sama kasih item pengurangan cc selain sepatu, sama hero sekelas sangguan ulti bisa reset bila kill musuh ini hero bergantung sama ulti, dan beberapa hero terlalu membutuhkan ulti dibikin balance biar agak sedikit sustand pas team fight. sama arcana tambahin spellvamp physical udah itu aja masukan dari saya terimakasih",neutral
Iron Man,tolong di perbaiki masalh jaringan nya. sangat menggangu saat lagi main rank,negative
Deswa 1234,gamenya bagus sekali tapi saya HP Samsung tapi saya HP Samsung Apakah kuat,positive
Reza Alvaro,game banyak bug ny jaringan nya rusak,negative
FAIDAH faidah,bagusss bgt ada hewan lucu pula di hok,positive
Muhammad Yasir yahya Yasir,seru......,positive
Feriando Agis,sangat cocok bagi yg ls di mlbb 🥰🥰,positive
VANDER 7070,saya suka,positive
Den Fik,"game lu udah ada cheater 2 x gue kena, di report tapi ga ke baca sistem, payah",negative
Alistha Rahmadhania,Game bagus dan menarik banget,positive
Rifaldo28 Abian07,geme burik kasih bintangc 1 aj,negative
Vina Ruru,sekarang download data gak bisa pake wifi dulu bisa lancar aja,positive
Sahroni Oni,"sering bug padahal jaringan gak ada masalah, terus yang di hukum malam player nya game gak adil game Auh gelap",negative
el ply20,next,neutral
Awal 001,Nanti saya comeback Lgi !!,neutral
Sylvester Nadek,sangat bagus,positive
Andrey,"Uninstall dulu jaringan(data) lag ketika war 5v5,",negative
Ukiyo Ace,game team tolol,negative
Idonk TRADER,game nya bagus grafiknya bagus tapi tolong hero yang boros mana bisa dikasih tidak ada mana nya ya tolong seperti lam tolong plisss,positive
ujang maman,tolonglah untuk meringankan dihp kentang,neutral
Muh ferdi Herdiansyah,"Wah hero gratisnya dikit banget ya, tapi untung ada rotasi mingguan… kalau sempat main minggu depan 😹",neutral
ahmad ryan,"Lawannya bot mulu bosen,tiap musuh nya kabur darah sekarat aku setengah tiba tiba ada temen nya banyakan lagi males Hok buriqqqqq",negative
Cikal Muslim,"game ta! ada event epik dr.bian,udh 30x gaca kga dapet"", kalo mau event jgn main sosial,mending login aja udh",neutral
Muhammad Rifangga,"menurutku sih honor of kings butuh gambaran lore yang lebih jelas, sangat susah untuk memahami lore dari game ini karena game ini lebih berfokus pada gameplay, bahkan gambaran primeara pun tak tertulis jelas membuat kebanyakan pemian cukup kesusahan memahami lore, untuk kedepannya aku harap game ini bisa menggambarkan lore gamenya dengan lebih jelas seperti game moba lainnya.",neutral
あなた,"Force Close setelah 1-4 Kali match, Setelah Update Malah Begini",negative
Snd Mf,"dikasih tim t*l*l mulu, masih mending mobile legends",negative
Hikigaya Hagiman,fiturnya tolong di perbaiki,neutral
Nanang Singgih,Good Application,positive
Video glo,GAME RUSAK saya saranin jangan di download,negative
Ariza Putra,"Min, Hp itel p55 5g saya problem ngebug random force close melulu. tolong diperbaiki.",negative
Naura,seru ni game,positive
Sadewa crew,Free skin,positive
BERRY Nur Alam,"sangat seru geme nya,,,",positive
Genshin Genshin,main gila aja pemainnya tiap hari mana gak kena penalti lagi makin aneh aja nih game,negative
Bagoes Ardianjar,"Saya udah legend *100-Up. game ini tidak menghargai roamer. perhitungannya tidak adil. bahkan dg sama-sama dpt SSS tp dg statistik yg jauh diatas yg lain, roamer TDK dominan dikasih mvp. ITS not fair for a game. saya juga seorang programmer kali. akui saja perhitungan mu kurang akurat. KDA selisih jauh saya unggul, menguasai map unggul, damage yg diterima unggul. tp dominan non roamer yg mvp.",negative
Erian Andri,tolong sistem match matching di benerin lagi masa tiap main ketemu Philipina mesti kalah,negative
Yusuf Asral,"terbaik memang, walau lawannya susah",positive
