userName,content,label
JIDAPOWER JIDA,malas nak cakap lagi dh enemy dh la pro tim dh la noob lagi paling malas lagi tim yang rank rendah nyasar ke tim sendiri sedangkan enmy sampai bekas immortal dh cam sial la update sekarang👎👎👎good bye forever,negative
Galih Najid,game ytim,negative
Muhammad Nibras,bagus saya suka tapi berikan saya ws lebih banyak lagi,positive
Ken Chuu,udah semenjak ganti season baru ini . makin ngaco .dari matching player .jaringan bug dan ngeleg padahal sinyal bagus . player yang entah pake cheat atau ga yang menyebabkan lag. makin ga jelas pokoknya.,negative
IND khadafi,game nya udah bagus tapi. tolong perbaikilah muntun masak main renk tim kayak computer musuh serasa penjoki beri lawan dan tim yg sepadan lah kalok gak di perbaiki ku pindah game sebelah/ HOK,neutral
Adam,minusnya permainanan nya gk se imbang gw main solo mvp mulu tapi kalah mulu kalau bisa mah ilangin tuh darat sistem monton gw cape,negative
Ilda Dada,ml seru bet,positive
Riki Icikiwir,"game buruk efek skin biasa aja, hera aneh, tampilan Majapahit. Team tidak merata win 1x kalah berkali-kali gw udah stres main kek ginian banyak banget drak sistem kek yang buat game",negative
Mar yadi,kenapa banyak draksistem gua capek monton di trol game gak jelasss,negative
samsudin nue,montoon update patch terbaru sekarang kk sering stuck di loading match making jadi sering afk sampe 1 menit bisa di skottth kan kah moonton untuk itu,neutral
Ela Nurlaela,saat saya mau bertanding malah stuck lama malah keluar dari pertandingan aku udah ngelakuin apapun masih aja ga bisa ini gimana,negative
Nasrun Wahyudi,knp akun saya kena bug padahal saya tidak pake verifikasi 2 langkah tapi pas saya login malah kena verifikasi 2 langkah ??tolong di jawab moonton,negative
Iyan Rasya,mending gausah di download udah banyak draks sistem dan bag ini tu gem Ter parah yang pernah gua alamin mending ff PUBG bloods trek Ama ghenshin😡😡🤬🤬🤬🤬🤬😾😾😾👎👎👎👎👎👎👎👎👎👎gimana mau ke mythic orang gua aja di buat ngesetak di legend kalau gua ketemu muntum gua bakal dia kembali dengan lukas!😈😈😈😈😈🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮😡😠🤬🤬🤬🤬🤬🤬🤬👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,negative
Pirman Alpiansyah,bagus dalam segi permain dan Hero skin nya juga keren keren tapi kenapa yang mainnya kaya gimana gitu rank nya pada tinggi tinggi jadi main kaya bocil tapi rank udah mityik jadi susah mau naik honornya,positive
Ridho Zaki,"sumpah ini game buat gua marah terus!!!!!setelah memang 1× pasti kalah lagi 1×,ini maksudnya gimana ya?apa sengaja biar gua kalah terus,stuck,aku pengen ngerasain di mytic,sampe aku ngeluarin kata kata mutiara terus, Plissss tolong kerjasamanya",negative
Muh. Erwin,"Banyak update baru yang membuat game ini makin seru tapi ada bug yang membuat pengalaman bermain sangat buruk. Jaringan lancar dan bagus tapi saat di gunakan untuk bermain ML di dalam game nge lag mulu, kalau sudah mati tiba "" jaringan lancar kembali, perasaan dari dulu game ini ga pernah fix tentang masalah itu, apakah pihak MOONTON sengaja? padahal sudah dari dulu banyak orang yang mempermasalahkan masalah ini tapi sepertinya ga pernah di tanggapi oleh pihak MOONTON.",positive
Edi Mulyono,"game macem tolol,masak sinyal hilang sendiri padahal full sinyalnya,klo ga dimatiin datanya ga bisa gerak",negative
Dika Bae,game burik kontol babai,negative
Wudka Projects,"lumayan, dikenalin emry",neutral
Mumy Ke2,"game bodoh, udh top up banyak² cuma di kasih kalah terus, kerennn",negative
