userName,content,appVersion,content_clean,tokenized,filtered_tokens,stopwords_removed,stemmed_tokens,slang_replaced,label
Muhammad Rizwan,keren banget game,11.1.1.4,keren banget game,"['keren', 'banget', 'game']","['keren', 'banget', 'game']","['keren', 'banget']","['keren', 'banget', 'game']","['keren', 'banget', 'game']",positive
Zahrong rong,buruk...padahal pas mau main rank udah baik jaringan nya eh malah menghubungkan ulang nyeselin harus tunggu beberapa jam untuk main🙃💔,,buruk...padahal pas mau main rank udah baik jaringan nya eh malah menghubungkan ulang nyeselin harus tunggu beberapa jam untuk main🙃💔,"['buruk', '...', 'padahal', 'pas', 'mau', 'main', 'rank', 'udah', 'baik', 'jaringan', 'nya', 'eh', 'malah', 'menghubungkan', 'ulang', 'nyeselin', 'harus', 'tunggu', 'beberapa', 'jam', 'untuk', 'main🙃💔']","['buruk', 'padahal', 'pas', 'mau', 'main', 'rank', 'udah', 'baik', 'jaringan', 'nya', 'eh', 'malah', 'menghubungkan', 'ulang', 'nyeselin', 'harus', 'tunggu', 'beberapa', 'jam', 'untuk', 'main']","['buruk', 'baik', 'hubung', 'ulang', 'tunggu', 'beberapa']","['buruk', 'padahal', 'pas', 'mau', 'main', 'rank', 'udah', 'baik', 'jaring', 'nya', 'eh', 'malah', 'hubung', 'ulang', 'nyeselin', 'harus', 'tunggu', 'beberapa', 'jam', 'untuk', 'main']","['buruk', 'padahal', 'pas', 'mau', 'main', 'rank', 'udah', 'baik', 'jaring', 'nya', 'eh', 'malah', 'hubung', 'ulang', 'nyeselin', 'harus', 'tunggu', 'beberapa', 'jam', 'untuk', 'main']",negative
Dewe Made krisna,GAK LAYAK MAIN,,gak layak main,"['gak', 'layak', 'main']","['gak', 'layak', 'main']",['layak'],"['gak', 'layak', 'main']","['tidak', 'layak', 'main']",positive
Muhammad Panca mustakim,"game nya seru yah banyak player jagonya tapi biasanya tim buruk musuh hebat ,tapi itu membuat menantang",11.1.1.4,"game nya seru yah banyak player jagonya tapi biasanya tim buruk musuh hebat ,tapi itu membuat menantang","['game', 'nya', 'seru', 'yah', 'banyak', 'player', 'jagonya', 'tapi', 'biasanya', 'tim', 'buruk', 'musuh', 'hebat', ',', 'tapi', 'itu', 'membuat', 'menantang']","['game', 'nya', 'seru', 'yah', 'banyak', 'player', 'jagonya', 'tapi', 'biasanya', 'tim', 'buruk', 'musuh', 'hebat', 'tapi', 'itu', 'membuat', 'menantang']","['seru', 'banyak', 'jago', 'biasa', 'buruk', 'musuh', 'hebat', 'tantang']","['game', 'nya', 'seru', 'yah', 'banyak', 'player', 'jago', 'tapi', 'biasa', 'tim', 'buruk', 'musuh', 'hebat', 'tapi', 'itu', 'buat', 'tantang']","['game', 'nya', 'seru', 'yah', 'banyak', 'player', 'jago', 'tapi', 'biasa', 'team', 'buruk', 'musuh', 'hebat', 'tapi', 'itu', 'buat', 'tantang']",positive
Toko Barokah,terima kasih tencent telah membuat game sebagus ini jujur apa yang anda berikan kepada pemain sangat² bagus,11.1.1.4,terima kasih tencent telah membuat game sebagus ini jujur apa yang anda berikan kepada pemain sangat² bagus,"['terima', 'kasih', 'tencent', 'telah', 'membuat', 'game', 'sebagus', 'ini', 'jujur', 'apa', 'yang', 'anda', 'berikan', 'kepada', 'pemain', 'sangat²', 'bagus']","['terima', 'kasih', 'tencent', 'telah', 'membuat', 'game', 'sebagus', 'ini', 'jujur', 'apa', 'yang', 'anda', 'berikan', 'kepada', 'pemain', 'sangat', 'bagus']","['terimakasih', 'bagus', 'jujur', 'ikan', 'kepada', 'bagus']","['terima', 'kasih', 'tencent', 'telah', 'buat', 'game', 'bagus', 'ini', 'jujur', 'apa', 'yang', 'anda', 'ikan', 'kepada', 'main', 'sangat', 'bagus']","['terimakasih', 'kasih', 'tencent', 'telah', 'buat', 'game', 'bagus', 'ini', 'jujur', 'apa', 'yang', 'kamu', 'ikan', 'kepada', 'main', 'sangat', 'bagus']",positive
Stevelie Walukow,mending ini daripada moba legeng,11.1.1.4,mending ini daripada moba legeng,"['mending', 'ini', 'daripada', 'moba', 'legeng']","['mending', 'ini', 'daripada', 'moba', 'legeng']","['mending', 'legeng']","['mending', 'ini', 'daripada', 'moba', 'legeng']","['mending', 'ini', 'daripada', 'moba', 'legeng']",neutral
arsito adi,seruuu asik kalo gabut aku bisa main ini yang bikin game ini aku laik,,seruuu asik kalo gabut aku bisa main ini yang bikin game ini aku laik,"['seruuu', 'asik', 'kalo', 'gabut', 'aku', 'bisa', 'main', 'ini', 'yang', 'bikin', 'game', 'ini', 'aku', 'laik']","['seru', 'asik', 'kalo', 'gabut', 'aku', 'bisa', 'main', 'ini', 'yang', 'bikin', 'game', 'ini', 'aku', 'laik']","['seru', 'asik', 'gabut', 'laik']","['seru', 'asik', 'kalo', 'gabut', 'aku', 'bisa', 'main', 'ini', 'yang', 'bikin', 'game', 'ini', 'aku', 'laik']","['seru', 'asik', 'kalau', 'gabut', 'aku', 'bisa', 'main', 'ini', 'yang', 'bikin', 'game', 'ini', 'aku', 'laik']",positive
zahra zahra,dark sistem team very crazy ku rasa jika kalah lebih banyak lebih baik dpt bonus bintang kalo menang,11.1.1.4,dark sistem team very crazy ku rasa jika kalah lebih banyak lebih baik dpt bonus bintang kalo menang,"['dark', 'sistem', 'team', 'very', 'crazy', 'ku', 'rasa', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'dpt', 'bonus', 'bintang', 'kalo', 'menang']","['dark', 'sistem', 'team', 'very', 'crazy', 'ku', 'rasa', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'dpt', 'bonus', 'bintang', 'kalo', 'menang']","['gelap', 'very', 'crazy', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'bonus', 'bintang', 'menang']","['dark', 'sistem', 'team', 'very', 'crazy', 'ku', 'rasa', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'dpt', 'bonus', 'bintang', 'kalo', 'menang']","['gelap', 'sistem', 'team', 'very', 'crazy', 'ku', 'rasa', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'dapat', 'bonus', 'bintang', 'kalau', 'menang']",negative
Muchlis Abdul Chohar,lelett,11.1.1.4,lelett,['lelett'],['lelett'],['lelett'],['lelett'],['lelett'],negative
Fox Tale,"animasi delay skill dan pergerakan di percepat buat beberapa hero licin di hok telalu banyak stun , sama kasih item pengurangan cc selain sepatu, sama hero sekelas sangguan ulti bisa reset bila kill musuh ini hero bergantung sama ulti, dan beberapa hero terlalu membutuhkan ulti dibikin balance biar agak sedikit sustand pas team fight. sama arcana tambahin spellvamp physical udah itu aja masukan dari saya terimakasih",,"animasi delay skill dan pergerakan di percepat buat beberapa hero licin di hok telalu banyak stun , sama kasih item pengurangan cc selain sepatu, sama hero sekelas sangguan ulti bisa reset bila kill musuh ini hero bergantung sama ulti, dan beberapa hero terlalu membutuhkan ulti dibikin balance biar agak sedikit sustand pas team fight. sama arcana tambahin spellvamp physical udah itu aja masukan dari saya terimakasih","['animasi', 'delay', 'skill', 'dan', 'pergerakan', 'di', 'percepat', 'buat', 'beberapa', 'hero', 'licin', 'di', 'hok', 'telalu', 'banyak', 'stun', ',', 'sama', 'kasih', 'item', 'pengurangan', 'cc', 'selain', 'sepatu', ',', 'sama', 'hero', 'sekelas', 'sangguan', 'ulti', 'bisa', 'reset', 'bila', 'kill', 'musuh', 'ini', 'hero', 'bergantung', 'sama', 'ulti', ',', 'dan', 'beberapa', 'hero', 'terlalu', 'membutuhkan', 'ulti', 'dibikin', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'pas', 'team', 'fight', '.', 'sama', 'arcana', 'tambahin', 'spellvamp', 'physical', 'udah', 'itu', 'aja', 'masukan', 'dari', 'saya', 'terimakasih']","['animasi', 'delay', 'skill', 'dan', 'pergerakan', 'di', 'percepat', 'buat', 'beberapa', 'hero', 'licin', 'di', 'hok', 'telalu', 'banyak', 'stun', 'sama', 'kasih', 'item', 'pengurangan', 'cc', 'selain', 'sepatu', 'sama', 'hero', 'sekelas', 'sangguan', 'ulti', 'bisa', 'reset', 'bila', 'kill', 'musuh', 'ini', 'hero', 'bergantung', 'sama', 'ulti', 'dan', 'beberapa', 'hero', 'terlalu', 'membutuhkan', 'ulti', 'dibikin', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'pas', 'team', 'fight', 'sama', 'arcana', 'tambahin', 'spellvamp', 'physical', 'udah', 'itu', 'aja', 'masukan', 'dari', 'saya', 'terimakasih']","['animasi', 'delay', 'skill', 'gera', 'cepat', 'beberapa', 'licin', 'talu', 'banyak', 'stun', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'kelas', 'sangguan', 'ulti', 'reset', 'bila', 'kill', 'musuh', 'gantung', 'ulti', 'beberapa', 'terlalu', 'butuh', 'ulti', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'fight', 'arcana', 'tambahin', 'spellvamp', 'physical', 'masuk', 'terimakasih']","['animasi', 'delay', 'skill', 'dan', 'gera', 'di', 'cepat', 'buat', 'beberapa', 'hero', 'licin', 'di', 'hok', 'talu', 'banyak', 'stun', 'sama', 'kasih', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'sama', 'hero', 'kelas', 'sangguan', 'ulti', 'bisa', 'reset', 'bila', 'kill', 'musuh', 'ini', 'hero', 'gantung', 'sama', 'ulti', 'dan', 'beberapa', 'hero', 'terlalu', 'butuh', 'ulti', 'bikin', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'pas', 'team', 'fight', 'sama', 'arcana', 'tambahin', 'spellvamp', 'physical', 'udah', 'itu', 'aja', 'masuk', 'dari', 'saya', 'terimakasih']","['animasi', 'delay', 'skill', 'dan', 'gera', 'di', 'cepat', 'buat', 'beberapa', 'hero', 'licin', 'di', 'hok', 'talu', 'banyak', 'stun', 'sama', 'kasih', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'sama', 'hero', 'kelas', 'sangguan', 'ulti', 'bisa', 'reset', 'bila', 'kill', 'musuh', 'ini', 'hero', 'gantung', 'sama', 'ulti', 'dan', 'beberapa', 'hero', 'terlalu', 'butuh', 'ulti', 'bikin', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'pas', 'team', 'fight', 'sama', 'arcana', 'tambahin', 'spellvamp', 'physical', 'udah', 'itu', 'aja', 'masuk', 'dari', 'aku', 'terimakasih']",neutral
