userName,content,appVersion,content_clean,tokenized,filtered_tokens,stopwords_removed,stemmed_tokens,slang_replaced,label
JIDAPOWER JIDA,malas nak cakap lagi dh enemy dh la pro tim dh la noob lagi paling malas lagi tim yang rank rendah nyasar ke tim sendiri sedangkan enmy sampai bekas immortal dh cam sial la update sekarang👎👎👎good bye forever,2.1.20.11202,malas nak cakap lagi dh enemy dh la pro tim dh la noob lagi paling malas lagi tim yang rank rendah nyasar ke tim sendiri sedangkan enmy sampai bekas immortal dh cam sial la update sekarang👎👎👎good bye forever,"['malas', 'nak', 'cakap', 'lagi', 'dh', 'enemy', 'dh', 'la', 'pro', 'tim', 'dh', 'la', 'noob', 'lagi', 'paling', 'malas', 'lagi', 'tim', 'yang', 'rank', 'rendah', 'nyasar', 'ke', 'tim', 'sendiri', 'sedangkan', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'la', 'update', 'sekarang👎👎👎good', 'bye', 'forever']","['malas', 'nak', 'cakap', 'lagi', 'dh', 'enemy', 'dh', 'la', 'pro', 'tim', 'dh', 'la', 'noob', 'lagi', 'paling', 'malas', 'lagi', 'tim', 'yang', 'rank', 'rendah', 'nyasar', 'ke', 'tim', 'sendiri', 'sedangkan', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'la', 'update', 'sekaranggood', 'bye', 'forever']","['malas', 'nak', 'cakap', 'dh', 'enemy', 'dh', 'pro', 'dh', 'noob', 'paling', 'malas', 'rendah', 'nyasar', 'sendiri', 'sedang', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'update', 'sekaranggood', 'bye', 'forever']","['malas', 'nak', 'cakap', 'lagi', 'dh', 'enemy', 'dh', 'la', 'pro', 'tim', 'dh', 'la', 'noob', 'lagi', 'paling', 'malas', 'lagi', 'tim', 'yang', 'rank', 'rendah', 'nyasar', 'ke', 'tim', 'sendiri', 'sedang', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'la', 'update', 'sekaranggood', 'bye', 'forever']","['malas', 'nak', 'cakap', 'lagi', 'dh', 'enemy', 'dh', 'la', 'pro', 'team', 'dh', 'la', 'noob', 'lagi', 'paling', 'malas', 'lagi', 'team', 'yang', 'rank', 'rendah', 'nyasar', 'ke', 'team', 'sendiri', 'sedang', 'enmy', 'sampai', 'bekas', 'immortal', 'dh', 'cam', 'sial', 'la', 'update', 'sekaranggood', 'bye', 'forever']",negative
Galih Najid,game ytim,2.1.18.11201,game ytim,"['game', 'ytim']","['game', 'ytim']",['yatim'],"['game', 'ytim']","['game', 'yatim']",negative
Muhammad Nibras,bagus saya suka tapi berikan saya ws lebih banyak lagi,2.1.18.11201,bagus saya suka tapi berikan saya ws lebih banyak lagi,"['bagus', 'saya', 'suka', 'tapi', 'berikan', 'saya', 'ws', 'lebih', 'banyak', 'lagi']","['bagus', 'saya', 'suka', 'tapi', 'berikan', 'saya', 'ws', 'lebih', 'banyak', 'lagi']","['bagus', 'suka', 'ikan', 'ws', 'lebih', 'banyak']","['bagus', 'saya', 'suka', 'tapi', 'ikan', 'saya', 'ws', 'lebih', 'banyak', 'lagi']","['bagus', 'aku', 'suka', 'tapi', 'ikan', 'aku', 'ws', 'lebih', 'banyak', 'lagi']",positive
Ken Chuu,udah semenjak ganti season baru ini . makin ngaco .dari matching player .jaringan bug dan ngeleg padahal sinyal bagus . player yang entah pake cheat atau ga yang menyebabkan lag. makin ga jelas pokoknya.,,udah semenjak ganti season baru ini . makin ngaco .dari matching player .jaringan bug dan ngeleg padahal sinyal bagus . player yang entah pake cheat atau ga yang menyebabkan lag. makin ga jelas pokoknya.,"['udah', 'semenjak', 'ganti', 'season', 'baru', 'ini', '.', 'makin', 'ngaco', '.dari', 'matching', 'player', '.jaringan', 'bug', 'dan', 'ngeleg', 'padahal', 'sinyal', 'bagus', '.', 'player', 'yang', 'entah', 'pake', 'cheat', 'atau', 'ga', 'yang', 'menyebabkan', 'lag', '.', 'makin', 'ga', 'jelas', 'pokoknya', '.']","['udah', 'semenjak', 'ganti', 'season', 'baru', 'ini', 'makin', 'ngaco', 'dari', 'matching', 'player', 'jaringan', 'bug', 'dan', 'ngeleg', 'padahal', 'sinyal', 'bagus', 'player', 'yang', 'entah', 'pake', 'cheat', 'atau', 'ga', 'yang', 'menyebabkan', 'lag', 'makin', 'ga', 'jelas', 'pokoknya']","['semenjak', 'ganti', 'season', 'baru', 'makin', 'ngaco', 'matching', 'bug', 'lag', 'sinyal', 'bagus', 'entah', 'cheat', 'sebab', 'lag', 'makin', 'jelas', 'pokok']","['udah', 'semenjak', 'ganti', 'season', 'baru', 'ini', 'makin', 'ngaco', 'dari', 'matching', 'player', 'jaring', 'bug', 'dan', 'ngeleg', 'padahal', 'sinyal', 'bagus', 'player', 'yang', 'entah', 'pake', 'cheat', 'atau', 'ga', 'yang', 'sebab', 'lag', 'makin', 'ga', 'jelas', 'pokok']","['udah', 'semenjak', 'ganti', 'season', 'baru', 'ini', 'makin', 'ngaco', 'dari', 'matching', 'player', 'jaring', 'bug', 'dan', 'lag', 'padahal', 'sinyal', 'bagus', 'player', 'yang', 'entah', 'pakai', 'cheat', 'atau', 'tidak', 'yang', 'sebab', 'lag', 'makin', 'tidak', 'jelas', 'pokok']",negative
IND khadafi,game nya udah bagus tapi. tolong perbaikilah muntun masak main renk tim kayak computer musuh serasa penjoki beri lawan dan tim yg sepadan lah kalok gak di perbaiki ku pindah game sebelah/ HOK,2.1.18.11201,game nya udah bagus tapi. tolong perbaikilah muntun masak main renk tim kayak computer musuh serasa penjoki beri lawan dan tim yg sepadan lah kalok gak di perbaiki ku pindah game sebelah/ hok,"['game', 'nya', 'udah', 'bagus', 'tapi', '.', 'tolong', 'perbaikilah', 'muntun', 'masak', 'main', 'renk', 'tim', 'kayak', 'computer', 'musuh', 'serasa', 'penjoki', 'beri', 'lawan', 'dan', 'tim', 'yg', 'sepadan', 'lah', 'kalok', 'gak', 'di', 'perbaiki', 'ku', 'pindah', 'game', 'sebelah/', 'hok']","['game', 'nya', 'udah', 'bagus', 'tapi', 'tolong', 'perbaikilah', 'muntun', 'masak', 'main', 'renk', 'tim', 'kayak', 'computer', 'musuh', 'serasa', 'penjoki', 'beri', 'lawan', 'dan', 'tim', 'yg', 'sepadan', 'lah', 'kalok', 'gak', 'di', 'perbaiki', 'ku', 'pindah', 'game', 'sebelah', 'hok']","['bagus', 'tolong', 'baik', 'muntun', 'renk', 'computer', 'musuh', 'serasa', 'joki', 'beri', 'lawan', 'padan', 'baik', 'pindah']","['game', 'nya', 'udah', 'bagus', 'tapi', 'tolong', 'baik', 'muntun', 'masak', 'main', 'renk', 'tim', 'kayak', 'computer', 'musuh', 'serasa', 'joki', 'beri', 'lawan', 'dan', 'tim', 'yg', 'padan', 'lah', 'kalok', 'gak', 'di', 'baik', 'ku', 'pindah', 'game', 'belah', 'hok']","['game', 'nya', 'udah', 'bagus', 'tapi', 'tolong', 'baik', 'muntun', 'masak', 'main', 'renk', 'team', 'seperti', 'computer', 'musuh', 'serasa', 'joki', 'beri', 'lawan', 'dan', 'team', 'yang', 'padan', 'lah', 'kalau', 'tidak', 'di', 'baik', 'ku', 'pindah', 'game', 'belah', 'hok']",neutral
Adam,minusnya permainanan nya gk se imbang gw main solo mvp mulu tapi kalah mulu kalau bisa mah ilangin tuh darat sistem monton gw cape,2.1.18.11201,minusnya permainanan nya gk se imbang gw main solo mvp mulu tapi kalah mulu kalau bisa mah ilangin tuh darat sistem monton gw cape,"['minusnya', 'permainanan', 'nya', 'gk', 'se', 'imbang', 'gw', 'main', 'solo', 'mvp', 'mulu', 'tapi', 'kalah', 'mulu', 'kalau', 'bisa', 'mah', 'ilangin', 'tuh', 'darat', 'sistem', 'monton', 'gw', 'cape']","['minusnya', 'permainanan', 'nya', 'gk', 'se', 'imbang', 'gw', 'main', 'solo', 'mvp', 'mulu', 'tapi', 'kalah', 'mulu', 'kalau', 'bisa', 'mah', 'ilangin', 'tuh', 'darat', 'sistem', 'monton', 'gw', 'cape']","['minus', 'permainanan', 'se', 'imbang', 'mvp', 'kalah', 'mah', 'ilangin', 'darat', 'cape']","['minus', 'permainanan', 'nya', 'gk', 'se', 'imbang', 'gw', 'main', 'solo', 'mvp', 'mulu', 'tapi', 'kalah', 'mulu', 'kalau', 'bisa', 'mah', 'ilangin', 'tuh', 'darat', 'sistem', 'monton', 'gw', 'cape']","['minus', 'permainanan', 'nya', 'tidak', 'se', 'imbang', 'aku', 'main', 'solo', 'mvp', 'mulu', 'tapi', 'kalah', 'mulu', 'kalau', 'bisa', 'mah', 'ilangin', 'tuh', 'darat', 'sistem', 'moonton', 'aku', 'cape']",negative
Ilda Dada,ml seru bet,,ml seru bet,"['ml', 'seru', 'bet']","['ml', 'seru', 'bet']","['seru', 'banget']","['ml', 'seru', 'bet']","['ml', 'seru', 'banget']",positive
Riki Icikiwir,"game buruk efek skin biasa aja, hera aneh, tampilan Majapahit. Team tidak merata win 1x kalah berkali-kali gw udah stres main kek ginian banyak banget drak sistem kek yang buat game",,"game buruk efek skin biasa aja, hera aneh, tampilan majapahit. team tidak merata win 1x kalah berkali-kali gw udah stres main kek ginian banyak banget drak sistem kek yang buat game","['game', 'buruk', 'efek', 'skin', 'biasa', 'aja', ',', 'hera', 'aneh', ',', 'tampilan', 'majapahit', '.', 'team', 'tidak', 'merata', 'win', '1x', 'kalah', 'berkali-kali', 'gw', 'udah', 'stres', 'main', 'kek', 'ginian', 'banyak', 'banget', 'drak', 'sistem', 'kek', 'yang', 'buat', 'game']","['game', 'buruk', 'efek', 'skin', 'biasa', 'aja', 'hera', 'aneh', 'tampilan', 'majapahit', 'team', 'tidak', 'merata', 'win', 'x', 'kalah', 'berkalikali', 'gw', 'udah', 'stres', 'main', 'kek', 'ginian', 'banyak', 'banget', 'drak', 'sistem', 'kek', 'yang', 'buat', 'game']","['buruk', 'efek', 'skin', 'biasa', 'hera', 'aneh', 'tampil', 'majapahit', 'rata', 'win', 'kalah', 'berkalikali', 'stres', 'ginian', 'banyak', 'banget', 'gelap']","['game', 'buruk', 'efek', 'skin', 'biasa', 'aja', 'hera', 'aneh', 'tampil', 'majapahit', 'team', 'tidak', 'rata', 'win', 'x', 'kalah', 'berkalikali', 'gw', 'udah', 'stres', 'main', 'kek', 'ginian', 'banyak', 'banget', 'drak', 'sistem', 'kek', 'yang', 'buat', 'game']","['game', 'buruk', 'efek', 'skin', 'biasa', 'aja', 'hera', 'aneh', 'tampil', 'majapahit', 'team', 'tidak', 'rata', 'win', 'kali', 'kalah', 'berkalikali', 'aku', 'udah', 'stres', 'main', 'seperti', 'ginian', 'banyak', 'banget', 'gelap', 'sistem', 'seperti', 'yang', 'buat', 'game']",negative
Mar yadi,kenapa banyak draksistem gua capek monton di trol game gak jelasss,2.1.18.11201,kenapa banyak draksistem gua capek monton di trol game gak jelasss,"['kenapa', 'banyak', 'draksistem', 'gua', 'capek', 'monton', 'di', 'trol', 'game', 'gak', 'jelasss']","['kenapa', 'banyak', 'draksistem', 'gua', 'capek', 'monton', 'di', 'trol', 'game', 'gak', 'jelas']","['kenapa', 'banyak', 'draksistem', 'capek', 'trol', 'jelas']","['kenapa', 'banyak', 'draksistem', 'gua', 'capek', 'monton', 'di', 'trol', 'game', 'gak', 'jelas']","['kenapa', 'banyak', 'draksistem', 'aku', 'capek', 'moonton', 'di', 'trol', 'game', 'tidak', 'jelas']",negative
samsudin nue,montoon update patch terbaru sekarang kk sering stuck di loading match making jadi sering afk sampe 1 menit bisa di skottth kan kah moonton untuk itu,2.1.18.11201,montoon update patch terbaru sekarang kk sering stuck di loading match making jadi sering afk sampe 1 menit bisa di skottth kan kah moonton untuk itu,"['montoon', 'update', 'patch', 'terbaru', 'sekarang', 'kk', 'sering', 'stuck', 'di', 'loading', 'match', 'making', 'jadi', 'sering', 'afk', 'sampe', '1', 'menit', 'bisa', 'di', 'skottth', 'kan', 'kah', 'moonton', 'untuk', 'itu']","['montoon', 'update', 'patch', 'terbaru', 'sekarang', 'kk', 'sering', 'stuck', 'di', 'loading', 'match', 'making', 'jadi', 'sering', 'afk', 'sampe', 'menit', 'bisa', 'di', 'skoth', 'kan', 'kah', 'moonton', 'untuk', 'itu']","['update', 'patch', 'baru', 'sekarang', 'kk', 'stuck', 'loading', 'afk', 'sampai', 'menit', 'skoth', 'kah']","['montoon', 'update', 'patch', 'baru', 'sekarang', 'kk', 'sering', 'stuck', 'di', 'loading', 'match', 'making', 'jadi', 'sering', 'afk', 'sampe', 'menit', 'bisa', 'di', 'skoth', 'kan', 'kah', 'moonton', 'untuk', 'itu']","['moonton', 'update', 'patch', 'baru', 'sekarang', 'kk', 'sering', 'stuck', 'di', 'loading', 'match', 'making', 'jadi', 'sering', 'afk', 'sampai', 'menit', 'bisa', 'di', 'skoth', 'kan', 'kah', 'moonton', 'untuk', 'itu']",neutral
