userName,content,appVersion,content_clean,tokenized,filtered_tokens,stopwords_removed,stemmed_tokens,slang_replaced,label,self_trained_label
muhammad hkim,pamaniyasarusakali,,pamaniyasarusakali,['pamaniyasarusakali'],['pamaniyasarusakali'],['pamaniyasarusakali'],['pamaniyasarusakali'],['pamaniyasarusakali'],,negative
hilman dewa,nggak ada otak,2.1.18.11201,nggak ada otak,"['nggak', 'ada', 'otak']","['nggak', 'ada', 'otak']",['otak'],"['nggak', 'ada', 'otak']","['tidak', 'ada', 'otak']",,positive
WILLY SUBAGJA,sang at bail game mi ini,,sang at bail game mi ini,"['sang', 'at', 'bail', 'game', 'mi', 'ini']","['sang', 'at', 'bail', 'game', 'mi', 'ini']","['sang', 'at', 'bail', 'mi']","['sang', 'at', 'bail', 'game', 'mi', 'ini']","['sang', 'at', 'bail', 'game', 'mi', 'ini']",,negative
Wardatul Firdausiyah,kasih timgak tau amin,,kasih timgak tau amin,"['kasih', 'timgak', 'tau', 'amin']","['kasih', 'timgak', 'tau', 'amin']","['timgak', 'amin']","['kasih', 'timgak', 'tau', 'amin']","['kasih', 'timgak', 'tau', 'amin']",,negative
Mariana,haji,2.1.18.11201,haji,['haji'],['haji'],['haji'],['haji'],['haji'],,negative
maftah syukrianda,tolong jaringan diperbaiki...masak signyal full mainnya patah2...,2.1.18.11201,tolong jaringan diperbaiki...masak signyal full mainnya patah2...,"['tolong', 'jaringan', 'diperbaiki', '...', 'masak', 'signyal', 'full', 'mainnya', 'patah2', '...']","['tolong', 'jaringan', 'diperbaiki', 'masak', 'signyal', 'full', 'mainnya', 'patah']","['tolong', 'baik', 'signyal', 'full', 'patah']","['tolong', 'jaring', 'baik', 'masak', 'signyal', 'full', 'main', 'patah']","['tolong', 'jaring', 'baik', 'masak', 'signyal', 'full', 'main', 'patah']",,negative
Andi Riko,"uda lama maen game ini, sekarang sekarang sering nge lag gejalas bahkan sampe ngga gerak hero,padahal sinyal bagus wifi bagus.. tolong moonton server ny di perbaiki lagi, klo masi ngga ada perbaikan,dengan hormat saya uninstal",2.1.18.11201,"uda lama maen game ini, sekarang sekarang sering nge lag gejalas bahkan sampe ngga gerak hero,padahal sinyal bagus wifi bagus.. tolong moonton server ny di perbaiki lagi, klo masi ngga ada perbaikan,dengan hormat saya uninstal","['uda', 'lama', 'maen', 'game', 'ini', ',', 'sekarang', 'sekarang', 'sering', 'nge', 'lag', 'gejalas', 'bahkan', 'sampe', 'ngga', 'gerak', 'hero', ',', 'padahal', 'sinyal', 'bagus', 'wifi', 'bagus', '..', 'tolong', 'moonton', 'server', 'ny', 'di', 'perbaiki', 'lagi', ',', 'klo', 'masi', 'ngga', 'ada', 'perbaikan', ',', 'dengan', 'hormat', 'saya', 'uninstal']","['uda', 'lama', 'maen', 'game', 'ini', 'sekarang', 'sekarang', 'sering', 'nge', 'lag', 'gejalas', 'bahkan', 'sampe', 'ngga', 'gerak', 'hero', 'padahal', 'sinyal', 'bagus', 'wifi', 'bagus', 'tolong', 'moonton', 'server', 'ny', 'di', 'perbaiki', 'lagi', 'klo', 'masi', 'ngga', 'ada', 'perbaikan', 'dengan', 'hormat', 'saya', 'uninstal']","['uda', 'lama', 'sekarang', 'sekarang', 'lag', 'gejalas', 'bahkan', 'sampai', 'ngga', 'gerak', 'sinyal', 'bagus', 'wifi', 'bagus', 'tolong', 'server', 'baik', 'mas', 'ngga', 'baik', 'hormat', 'uninstal']","['uda', 'lama', 'maen', 'game', 'ini', 'sekarang', 'sekarang', 'sering', 'nge', 'lag', 'gejalas', 'bahkan', 'sampe', 'ngga', 'gerak', 'hero', 'padahal', 'sinyal', 'bagus', 'wifi', 'bagus', 'tolong', 'moonton', 'server', 'ny', 'di', 'baik', 'lagi', 'klo', 'mas', 'ngga', 'ada', 'baik', 'dengan', 'hormat', 'saya', 'uninstal']","['uda', 'lama', 'main', 'game', 'ini', 'sekarang', 'sekarang', 'sering', 'nge', 'lag', 'gejalas', 'bahkan', 'sampai', 'ngga', 'gerak', 'hero', 'padahal', 'sinyal', 'bagus', 'wifi', 'bagus', 'tolong', 'moonton', 'server', 'nya', 'di', 'baik', 'lagi', 'kalau', 'mas', 'ngga', 'ada', 'baik', 'dengan', 'hormat', 'aku', 'uninstal']",,negative
Rendra Hermateja,makin tidak devices friendly setiap detik ke 13 sampai 0 frame drop 1 fps per 5 detik parah alhasil tidak bisa mengganti emblem dan battle spell. bayangkan di suruh fast respon cuma dikasih waktu 2 detik. chipset SD 732g kurang kah?,2.1.18.11201,makin tidak devices friendly setiap detik ke 13 sampai 0 frame drop 1 fps per 5 detik parah alhasil tidak bisa mengganti emblem dan battle spell. bayangkan di suruh fast respon cuma dikasih waktu 2 detik. chipset sd 732g kurang kah?,"['makin', 'tidak', 'devices', 'friendly', 'setiap', 'detik', 'ke', '13', 'sampai', '0', 'frame', 'drop', '1', 'fps', 'per', '5', 'detik', 'parah', 'alhasil', 'tidak', 'bisa', 'mengganti', 'emblem', 'dan', 'battle', 'spell', '.', 'bayangkan', 'di', 'suruh', 'fast', 'respon', 'cuma', 'dikasih', 'waktu', '2', 'detik', '.', 'chipset', 'sd', '732g', 'kurang', 'kah', '?']","['makin', 'tidak', 'devices', 'friendly', 'setiap', 'detik', 'ke', 'sampai', 'frame', 'drop', 'fps', 'per', 'detik', 'parah', 'alhasil', 'tidak', 'bisa', 'mengganti', 'emblem', 'dan', 'battle', 'spell', 'bayangkan', 'di', 'suruh', 'fast', 'respon', 'cuma', 'dikasih', 'waktu', 'detik', 'chipset', 'sd', 'g', 'kurang', 'kah']","['makin', 'devices', 'friendly', 'detik', 'sampai', 'frame', 'drop', 'fps', 'per', 'detik', 'parah', 'alhasil', 'ganti', 'emblem', 'battle', 'spell', 'bayang', 'suruh', 'fast', 'respon', 'cuma', 'detik', 'chipset', 'sd', 'kurang', 'kah']","['makin', 'tidak', 'devices', 'friendly', 'tiap', 'detik', 'ke', 'sampai', 'frame', 'drop', 'fps', 'per', 'detik', 'parah', 'alhasil', 'tidak', 'bisa', 'ganti', 'emblem', 'dan', 'battle', 'spell', 'bayang', 'di', 'suruh', 'fast', 'respon', 'cuma', 'kasih', 'waktu', 'detik', 'chipset', 'sd', 'g', 'kurang', 'kah']","['makin', 'tidak', 'devices', 'friendly', 'tiap', 'detik', 'ke', 'sampai', 'frame', 'drop', 'fps', 'per', 'detik', 'parah', 'alhasil', 'tidak', 'bisa', 'ganti', 'emblem', 'dan', 'battle', 'spell', 'bayang', 'di', 'suruh', 'fast', 'respon', 'cuma', 'kasih', 'waktu', 'detik', 'chipset', 'sd', 'tidak', 'kurang', 'kah']",,negative
Aboy Tampan,"makin kesini makin ga jelas,,sering lag juga selalu di kasih kalah beruntun dapat tim jelek terus",1.9.99.10932,"makin kesini makin ga jelas,,sering lag juga selalu di kasih kalah beruntun dapat tim jelek terus","['makin', 'kesini', 'makin', 'ga', 'jelas', ',', ',sering', 'lag', 'juga', 'selalu', 'di', 'kasih', 'kalah', 'beruntun', 'dapat', 'tim', 'jelek', 'terus']","['makin', 'kesini', 'makin', 'ga', 'jelas', 'sering', 'lag', 'juga', 'selalu', 'di', 'kasih', 'kalah', 'beruntun', 'dapat', 'tim', 'jelek', 'terus']","['makin', 'makin', 'jelas', 'lag', 'selalu', 'kalah', 'untun', 'jelek']","['makin', 'kesini', 'makin', 'ga', 'jelas', 'sering', 'lag', 'juga', 'selalu', 'di', 'kasih', 'kalah', 'untun', 'dapat', 'tim', 'jelek', 'terus']","['makin', 'kesini', 'makin', 'tidak', 'jelas', 'sering', 'lag', 'juga', 'selalu', 'di', 'kasih', 'kalah', 'untun', 'dapat', 'team', 'jelek', 'terus']",,negative
Nurcah Yadi,jadi jelek sekarang ml ngga bisa buat hp android,1.9.33.10117,jadi jelek sekarang ml ngga bisa buat hp android,"['jadi', 'jelek', 'sekarang', 'ml', 'ngga', 'bisa', 'buat', 'hp', 'android']","['jadi', 'jelek', 'sekarang', 'ml', 'ngga', 'bisa', 'buat', 'hp', 'android']","['jelek', 'sekarang', 'ngga', 'android']","['jadi', 'jelek', 'sekarang', 'ml', 'ngga', 'bisa', 'buat', 'hp', 'android']","['jadi', 'jelek', 'sekarang', 'ml', 'ngga', 'bisa', 'buat', 'hp', 'android']",,negative
